hand, deck, pile, move
[34; 52; 31; 21; 11; 66; 66; 66; 66; 66], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51; 24; 43; 23; 21; 31; 43; 12; 14; 35; 54; 23; 34; 54; 55; 24; 51; 42; 53; 42; 21; 25; 45; 53; 41; 32; 15; 14; 51; 41], , [413]
[34; 52; 31; 21; 51; 66; 66; 66; 66; 66], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51; 24; 43; 23; 21; 31; 43; 12; 14; 35; 54; 23; 34; 54; 55; 24; 51; 42; 53; 42; 21; 25; 45; 53; 41; 32; 15; 14], , [201[2; 3; 4]1]
[34; 52; 31; 21; 14; 66; 66; 66; 66; 66], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51; 24; 43; 23; 21; 31; 43; 12; 14; 35; 54; 23; 34; 54; 55; 24; 51; 42; 53; 42; 21; 25; 45; 53; 41; 32; 15], , [101[0; 2]3]
[34; 52; 21; 14; 15; 66; 66; 66; 66; 66], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51; 24; 43; 23; 21; 31; 43; 12; 14; 35; 54; 23; 34; 54; 55; 24; 51; 42; 53; 42; 21; 25; 45; 53; 41; 32], , [101[1]5]
[34; 21; 14; 15; 32; 66; 66; 66; 66; 66], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51; 24; 43; 23; 21; 31; 43; 12; 14; 35; 54; 23; 34; 54; 55; 24; 51; 42; 53; 42; 21; 25; 45; 53; 41], , [101[2; 3]1]
[34; 14; 15; 32; 41; 66; 66; 66; 66; 66], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51; 24; 43; 23; 21; 31; 43; 12; 14; 35; 54; 23; 34; 54; 55; 24; 51; 42; 53; 42; 21; 25; 45; 53], , [201[4]1]
[34; 14; 15; 32; 53; 66; 66; 66; 66; 66], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51; 24; 43; 23; 21; 31; 43; 12; 14; 35; 54; 23; 34; 54; 55; 24; 51; 42; 53; 42; 21; 25; 45], , [314]
[34; 14; 15; 32; 53; 66; 66; 66; 66; 66], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51; 24; 43; 23; 21; 31; 43; 12; 14; 35; 54; 23; 34; 54; 55; 24; 51; 42; 53; 42; 21; 25], , [311]
[34; 14; 15; 32; 53; 66; 66; 66; 66; 66], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51; 24; 43; 23; 21; 31; 43; 12; 14; 35; 54; 23; 34; 54; 55; 24; 51; 42; 53; 42; 21], , [312]
[34; 14; 15; 32; 53; 66; 66; 66; 66; 66], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51; 24; 43; 23; 21; 31; 43; 12; 14; 35; 54; 23; 34; 54; 55; 24; 51; 42; 53; 42], , [311]
[34; 14; 15; 32; 53; 66; 66; 66; 66; 66], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51; 24; 43; 23; 21; 31; 43; 12; 14; 35; 54; 23; 34; 54; 55; 24; 51; 42; 53], , [314]
[34; 15; 32; 53; 42; 66; 66; 66; 66; 66], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51; 24; 43; 23; 21; 31; 43; 12; 14; 35; 54; 23; 34; 54; 55; 24; 51], , [201[3]3]
[34; 15; 32; 42; 51; 66; 66; 66; 66; 66], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51; 24; 43; 23; 21; 31; 43; 12; 14; 35; 54; 23; 34; 54; 55; 24], , [410]
[34; 15; 32; 42; 51; 66; 66; 66; 66; 66], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51; 24; 43; 23; 21; 31; 43; 12; 14; 35; 54; 23; 34; 54; 55], , [412]
[34; 15; 32; 51; 54; 66; 66; 66; 66; 66], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51; 24; 43; 23; 21; 31; 43; 12; 14; 35; 54; 23; 34], , [101[3; 4]5]
[34; 15; 32; 51; 34; 66; 66; 66; 66; 66], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51; 24; 43; 23; 21; 31; 43; 12; 14; 35; 54; 23], , [201[2]2]
[34; 15; 51; 34; 23; 66; 66; 66; 66; 66], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51; 24; 43; 23; 21; 31; 43; 12; 14; 35; 54], , [412]
[34; 15; 51; 34; 23; 66; 66; 66; 66; 66], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51; 24; 43; 23; 21; 31; 43; 12; 14; 35], , [313]
[34; 15; 34; 23; 14; 66; 66; 66; 66; 66], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51; 24; 43; 23; 21; 31; 43; 12], , [201[0; 2; 4]4]
[34; 15; 34; 23; 12; 66; 66; 66; 66; 66], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51; 24; 43; 23; 21; 31; 43], , [101[3]2]
[34; 15; 34; 12; 43; 66; 66; 66; 66; 66], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51; 24; 43; 23; 21; 31], , [412]
[34; 34; 12; 43; 21; 66; 66; 66; 66; 66], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51; 24; 43; 23], , [101[3]4]
[34; 34; 12; 21; 23; 66; 66; 66; 66; 66], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51; 24; 43], , [412]
[34; 34; 12; 21; 23; 66; 66; 66; 66; 66], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51; 24], , [413]
[34; 34; 12; 21; 23; 66; 66; 66; 66; 66], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51], , [314]
[34; 34; 12; 23; 41; 66; 66; 66; 66; 66], [44; 13; 52; 22; 31; 11; 33; 33; 32], , [311]
[34; 34; 23; 41; 33; 66; 66; 66; 66; 66], [44; 13; 52; 22; 31; 11; 33], , [201[2; 4]3]
[34; 34; 23; 41; 33; 66; 66; 66; 66; 66], [44; 13; 52; 22; 31; 11], , [413]
[34; 23; 41; 33; 31; 66; 66; 66; 66; 66], [44; 13; 52; 22], , [311]
[34; 23; 33; 31; 52; 66; 66; 66; 66; 66], [44; 13], , [412]
[34; 23; 33; 31; 44; 66; 66; 66; 66; 66], [], , [101[4]4]
