hand, deck, pile, move
[45; 53; 12; 41; 33; 66; 66; 66; 66; 66], [21; 55; 35; 11; 53; 33; 43; 41; 25; 21; 11; 44; 51; 22; 31; 31; 23; 11; 34; 24; 32; 12; 42; 34; 22; 13; 51; 54; 13; 42; 31; 44; 52; 52; 43; 14; 14; 21; 24; 15], , [101[0; 3]4]
[45; 53; 12; 33; 15; 66; 66; 66; 66; 66], [21; 55; 35; 11; 53; 33; 43; 41; 25; 21; 11; 44; 51; 22; 31; 31; 23; 11; 34; 24; 32; 12; 42; 34; 22; 13; 51; 54; 13; 42; 31; 44; 52; 52; 43; 14; 14; 21; 24], , [201[0; 4]5]
[45; 53; 12; 33; 15; 66; 66; 66; 66; 66], [21; 55; 35; 11; 53; 33; 43; 41; 25; 21; 11; 44; 51; 22; 31; 31; 23; 11; 34; 24; 32; 12; 42; 34; 22; 13; 51; 54; 13; 42; 31; 44; 52; 52; 43; 14; 14; 21; 24], , [312]
[45; 12; 33; 15; 21; 66; 66; 66; 66; 66], [21; 55; 35; 11; 53; 33; 43; 41; 25; 21; 11; 44; 51; 22; 31; 31; 23; 11; 34; 24; 32; 12; 42; 34; 22; 13; 51; 54; 13; 42; 31; 44; 52; 52; 43; 14; 14], , [101[4]2]
[45; 12; 33; 15; 14; 66; 66; 66; 66; 66], [21; 55; 35; 11; 53; 33; 43; 41; 25; 21; 11; 44; 51; 22; 31; 31; 23; 11; 34; 24; 32; 12; 42; 34; 22; 13; 51; 54; 13; 42; 31; 44; 52; 52; 43; 14], , [411]
[45; 12; 33; 15; 43; 66; 66; 66; 66; 66], [21; 55; 35; 11; 53; 33; 43; 41; 25; 21; 11; 44; 51; 22; 31; 31; 23; 11; 34; 24; 32; 12; 42; 34; 22; 13; 51; 54; 13; 42; 31; 44; 52; 52], , [413]
[45; 12; 33; 15; 43; 66; 66; 66; 66; 66], [21; 55; 35; 11; 53; 33; 43; 41; 25; 21; 11; 44; 51; 22; 31; 31; 23; 11; 34; 24; 32; 12; 42; 34; 22; 13; 51; 54; 13; 42; 31; 44; 52], , [314]
[45; 12; 33; 15; 44; 66; 66; 66; 66; 66], [21; 55; 35; 11; 53; 33; 43; 41; 25; 21; 11; 44; 51; 22; 31; 31; 23; 11; 34; 24; 32; 12; 42; 34; 22; 13; 51; 54; 13; 42; 31], , [414]
[45; 12; 33; 15; 44; 66; 66; 66; 66; 66], [21; 55; 35; 11; 53; 33; 43; 41; 25; 21; 11; 44; 51; 22; 31; 31; 23; 11; 34; 24; 32; 12; 42; 34; 22; 13; 51; 54; 13; 42], , [314]
[45; 12; 33; 15; 44; 66; 66; 66; 66; 66], [21; 55; 35; 11; 53; 33; 43; 41; 25; 21; 11; 44; 51; 22; 31; 31; 23; 11; 34; 24; 32; 12; 42; 34; 22; 13; 51; 54; 13], , [311]
[45; 33; 15; 44; 54; 66; 66; 66; 66; 66], [21; 55; 35; 11; 53; 33; 43; 41; 25; 21; 11; 44; 51; 22; 31; 31; 23; 11; 34; 24; 32; 12; 42; 34; 22; 13; 51], , [313]
[45; 33; 15; 54; 13; 66; 66; 66; 66; 66], [21; 55; 35; 11; 53; 33; 43; 41; 25; 21; 11; 44; 51; 22; 31; 31; 23; 11; 34; 24; 32; 12; 42; 34; 22], , [101[1]3]
[45; 15; 54; 13; 22; 66; 66; 66; 66; 66], [21; 55; 35; 11; 53; 33; 43; 41; 25; 21; 11; 44; 51; 22; 31; 31; 23; 11; 34; 24; 32; 12; 42; 34], , [101[4]2]
[45; 15; 54; 13; 34; 66; 66; 66; 66; 66], [21; 55; 35; 11; 53; 33; 43; 41; 25; 21; 11; 44; 51; 22; 31; 31; 23; 11; 34; 24; 32; 12; 42], , [101[4]3]
[45; 15; 54; 13; 42; 66; 66; 66; 66; 66], [21; 55; 35; 11; 53; 33; 43; 41; 25; 21; 11; 44; 51; 22; 31; 31; 23; 11; 34; 24; 32; 12], , [413]
[45; 15; 54; 13; 42; 66; 66; 66; 66; 66], [21; 55; 35; 11; 53; 33; 43; 41; 25; 21; 11; 44; 51; 22; 31; 31; 23; 11; 34; 24; 32], , [310]
[45; 15; 54; 13; 24; 66; 66; 66; 66; 66], [21; 55; 35; 11; 53; 33; 43; 41; 25; 21; 11; 44; 51; 22; 31; 31; 23; 11; 34], , [101[4]2]
[45; 15; 54; 13; 34; 66; 66; 66; 66; 66], [21; 55; 35; 11; 53; 33; 43; 41; 25; 21; 11; 44; 51; 22; 31; 31; 23; 11], , [412]
[45; 15; 54; 13; 34; 66; 66; 66; 66; 66], [21; 55; 35; 11; 53; 33; 43; 41; 25; 21; 11; 44; 51; 22; 31; 31; 23], , [314]
[45; 15; 54; 13; 34; 66; 66; 66; 66; 66], [21; 55; 35; 11; 53; 33; 43; 41; 25; 21; 11; 44; 51; 22; 31; 31], , [312]
[45; 15; 54; 13; 31; 66; 66; 66; 66; 66], [21; 55; 35; 11; 53; 33; 43; 41; 25; 21; 11; 44; 51; 22], , [101[1; 3]1]
[45; 15; 54; 31; 22; 66; 66; 66; 66; 66], [21; 55; 35; 11; 53; 33; 43; 41; 25; 21; 11; 44; 51], , [412]
[45; 15; 54; 31; 22; 66; 66; 66; 66; 66], [21; 55; 35; 11; 53; 33; 43; 41; 25; 21; 11; 44], , [311]
