hand, deck, pile, move
[42; 31; 44; 43; 44; 66; 66; 66; 66; 66], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55; 54; 25; 51; 34; 53; 24; 12; 13; 52; 52; 22; 41; 23; 14; 33; 32; 21; 42; 41; 54; 53; 35; 32; 24; 31; 51; 11; 13; 45], , [313]
[42; 31; 44; 43; 44; 66; 66; 66; 66; 66], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55; 54; 25; 51; 34; 53; 24; 12; 13; 52; 52; 22; 41; 23; 14; 33; 32; 21; 42; 41; 54; 53; 35; 32; 24; 31; 51; 11; 13], , [311]
[31; 44; 43; 44; 11; 66; 66; 66; 66; 66], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55; 54; 25; 51; 34; 53; 24; 12; 13; 52; 52; 22; 41; 23; 14; 33; 32; 21; 42; 41; 54; 53; 35; 32; 24; 31; 51], , [201[0; 4]1]
[31; 44; 43; 44; 51; 66; 66; 66; 66; 66], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55; 54; 25; 51; 34; 53; 24; 12; 13; 52; 52; 22; 41; 23; 14; 33; 32; 21; 42; 41; 54; 53; 35; 32; 24; 31], , [101[4]5]
[31; 44; 43; 44; 31; 66; 66; 66; 66; 66], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55; 54; 25; 51; 34; 53; 24; 12; 13; 52; 52; 22; 41; 23; 14; 33; 32; 21; 42; 41; 54; 53; 35; 32; 24], , [101[0; 4]3]
[44; 43; 44; 31; 24; 66; 66; 66; 66; 66], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55; 54; 25; 51; 34; 53; 24; 12; 13; 52; 52; 22; 41; 23; 14; 33; 32; 21; 42; 41; 54; 53; 35; 32], , [414]
[44; 43; 44; 31; 24; 66; 66; 66; 66; 66], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55; 54; 25; 51; 34; 53; 24; 12; 13; 52; 52; 22; 41; 23; 14; 33; 32; 21; 42; 41; 54; 53; 35], , [314]
[44; 43; 44; 24; 53; 66; 66; 66; 66; 66], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55; 54; 25; 51; 34; 53; 24; 12; 13; 52; 52; 22; 41; 23; 14; 33; 32; 21; 42; 41; 54], , [411]
[44; 43; 44; 24; 53; 66; 66; 66; 66; 66], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55; 54; 25; 51; 34; 53; 24; 12; 13; 52; 52; 22; 41; 23; 14; 33; 32; 21; 42; 41], , [414]
[44; 43; 44; 53; 42; 66; 66; 66; 66; 66], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55; 54; 25; 51; 34; 53; 24; 12; 13; 52; 52; 22; 41; 23; 14; 33; 32; 21], , [101[0; 1; 2; 4]4]
[44; 43; 44; 53; 21; 66; 66; 66; 66; 66], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55; 54; 25; 51; 34; 53; 24; 12; 13; 52; 52; 22; 41; 23; 14; 33; 32], , [414]
[44; 43; 44; 21; 33; 66; 66; 66; 66; 66], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55; 54; 25; 51; 34; 53; 24; 12; 13; 52; 52; 22; 41; 23; 14], , [201[1; 4]3]
[44; 44; 21; 33; 14; 66; 66; 66; 66; 66], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55; 54; 25; 51; 34; 53; 24; 12; 13; 52; 52; 22; 41; 23], , [201[0; 1; 4]4]
[44; 21; 33; 14; 23; 66; 66; 66; 66; 66], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55; 54; 25; 51; 34; 53; 24; 12; 13; 52; 52; 22; 41], , [101[2]3]
[44; 21; 14; 23; 41; 66; 66; 66; 66; 66], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55; 54; 25; 51; 34; 53; 24; 12; 13; 52; 52; 22], , [414]
[44; 21; 14; 23; 41; 66; 66; 66; 66; 66], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55; 54; 25; 51; 34; 53; 24; 12; 13; 52; 52], , [314]
[44; 21; 14; 23; 41; 66; 66; 66; 66; 66], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55; 54; 25; 51; 34; 53; 24; 12; 13; 52], , [314]
[44; 21; 14; 23; 41; 66; 66; 66; 66; 66], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55; 54; 25; 51; 34; 53; 24; 12; 13], , [310]
[44; 21; 14; 23; 41; 66; 66; 66; 66; 66], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55; 54; 25; 51; 34; 53; 24; 12], , [311]
[44; 21; 14; 23; 41; 66; 66; 66; 66; 66], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55; 54; 25; 51; 34; 53; 24], , [314]
[44; 21; 14; 23; 41; 66; 66; 66; 66; 66], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55; 54; 25; 51; 34; 53], , [314]
[44; 21; 14; 23; 41; 66; 66; 66; 66; 66], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55; 54; 25; 51; 34], , [314]
[21; 14; 23; 41; 51; 66; 66; 66; 66; 66], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55; 54; 25], , [412]
[21; 14; 23; 41; 51; 66; 66; 66; 66; 66], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55; 54], , [314]
[21; 14; 23; 41; 51; 66; 66; 66; 66; 66], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55], , [314]
[21; 14; 23; 41; 51; 66; 66; 66; 66; 66], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14], , [314]
[21; 14; 23; 41; 51; 66; 66; 66; 66; 66], [11; 11; 21; 33; 31; 22; 43; 51; 12], , [313]
[21; 14; 41; 51; 51; 66; 66; 66; 66; 66], [11; 11; 21; 33; 31; 22; 43], , [311]
