hand, deck, pile, move
[53; 51; 31; 21; 52; 66; 66; 66; 66; 66], [22; 11; 41; 24; 21; 52; 55; 14; 44; 51; 32; 15; 31; 31; 21; 14; 35; 42; 41; 33; 23; 23; 11; 44; 45; 34; 24; 54; 42; 34; 11; 12; 22; 13; 12; 25; 13; 54; 41; 32], , [311]
[51; 31; 21; 52; 41; 66; 66; 66; 66; 66], [22; 11; 41; 24; 21; 52; 55; 14; 44; 51; 32; 15; 31; 31; 21; 14; 35; 42; 41; 33; 23; 23; 11; 44; 45; 34; 24; 54; 42; 34; 11; 12; 22; 13; 12; 25; 13; 54], , [201[0; 1; 2; 4]1]
[31; 21; 52; 41; 54; 66; 66; 66; 66; 66], [22; 11; 41; 24; 21; 52; 55; 14; 44; 51; 32; 15; 31; 31; 21; 14; 35; 42; 41; 33; 23; 23; 11; 44; 45; 34; 24; 54; 42; 34; 11; 12; 22; 13; 12; 25; 13], , [101[2; 4]5]
[21; 52; 41; 54; 13; 66; 66; 66; 66; 66], [22; 11; 41; 24; 21; 52; 55; 14; 44; 51; 32; 15; 31; 31; 21; 14; 35; 42; 41; 33; 23; 23; 11; 44; 45; 34; 24; 54; 42; 34; 11; 12; 22; 13; 12; 25], , [101[0]2]
[52; 41; 54; 13; 25; 66; 66; 66; 66; 66], [22; 11; 41; 24; 21; 52; 55; 14; 44; 51; 32; 15; 31; 31; 21; 14; 35; 42; 41; 33; 23; 23; 11; 44; 45; 34; 24; 54; 42; 34; 11; 12; 22; 13; 12], , [201[0]2]
[41; 54; 13; 25; 12; 66; 66; 66; 66; 66], [22; 11; 41; 24; 21; 52; 55; 14; 44; 51; 32; 15; 31; 31; 21; 14; 35; 42; 41; 33; 23; 23; 11; 44; 45; 34; 24; 54; 42; 34; 11; 12; 22; 13], , [101[0]4]
[54; 13; 25; 12; 13; 66; 66; 66; 66; 66], [22; 11; 41; 24; 21; 52; 55; 14; 44; 51; 32; 15; 31; 31; 21; 14; 35; 42; 41; 33; 23; 23; 11; 44; 45; 34; 24; 54; 42; 34; 11; 12; 22], , [414]
[54; 13; 25; 12; 13; 66; 66; 66; 66; 66], [22; 11; 41; 24; 21; 52; 55; 14; 44; 51; 32; 15; 31; 31; 21; 14; 35; 42; 41; 33; 23; 23; 11; 44; 45; 34; 24; 54; 42; 34; 11; 12], , [314]
[54; 13; 25; 12; 13; 66; 66; 66; 66; 66], [22; 11; 41; 24; 21; 52; 55; 14; 44; 51; 32; 15; 31; 31; 21; 14; 35; 42; 41; 33; 23; 23; 11; 44; 45; 34; 24; 54; 42; 34; 11], , [311]
[54; 13; 25; 12; 13; 66; 66; 66; 66; 66], [22; 11; 41; 24; 21; 52; 55; 14; 44; 51; 32; 15; 31; 31; 21; 14; 35; 42; 41; 33; 23; 23; 11; 44; 45; 34; 24; 54; 42; 34], , [314]
[54; 13; 25; 12; 13; 66; 66; 66; 66; 66], [22; 11; 41; 24; 21; 52; 55; 14; 44; 51; 32; 15; 31; 31; 21; 14; 35; 42; 41; 33; 23; 23; 11; 44; 45; 34; 24; 54; 42], , [313]
[54; 13; 25; 12; 13; 66; 66; 66; 66; 66], [22; 11; 41; 24; 21; 52; 55; 14; 44; 51; 32; 15; 31; 31; 21; 14; 35; 42; 41; 33; 23; 23; 11; 44; 45; 34; 24; 54], , [314]
[13; 25; 12; 13; 24; 66; 66; 66; 66; 66], [22; 11; 41; 24; 21; 52; 55; 14; 44; 51; 32; 15; 31; 31; 21; 14; 35; 42; 41; 33; 23; 23; 11; 44; 45; 34], , [101[0; 2; 3]1]
[25; 12; 13; 24; 34; 66; 66; 66; 66; 66], [22; 11; 41; 24; 21; 52; 55; 14; 44; 51; 32; 15; 31; 31; 21; 14; 35; 42; 41; 33; 23; 23; 11; 44; 45], , [414]
[25; 12; 13; 24; 34; 66; 66; 66; 66; 66], [22; 11; 41; 24; 21; 52; 55; 14; 44; 51; 32; 15; 31; 31; 21; 14; 35; 42; 41; 33; 23; 23; 11; 44], , [310]
