hand, deck, pile, move
[25; 12; 24; 34; 11; 66; 66; 66; 66; 66], [22; 11; 41; 24; 21; 52; 55; 14; 44; 51; 32; 15; 31; 31; 21; 14; 35; 42; 41; 33; 23; 23], , [411]
[25; 12; 24; 34; 11; 66; 66; 66; 66; 66], [22; 11; 41; 24; 21; 52; 55; 14; 44; 51; 32; 15; 31; 31; 21; 14; 35; 42; 41; 33; 23], , [313]
[25; 12; 24; 34; 11; 66; 66; 66; 66; 66], [22; 11; 41; 24; 21; 52; 55; 14; 44; 51; 32; 15; 31; 31; 21; 14; 35; 42; 41; 33], , [314]
[25; 12; 24; 11; 41; 66; 66; 66; 66; 66], [22; 11; 41; 24; 21; 52; 55; 14; 44; 51; 32; 15; 31; 31; 21; 14; 35; 42], , [101[0; 2]2]
[25; 12; 11; 41; 42; 66; 66; 66; 66; 66], [22; 11; 41; 24; 21; 52; 55; 14; 44; 51; 32; 15; 31; 31; 21; 14; 35], , [412]
[25; 12; 11; 41; 14; 66; 66; 66; 66; 66], [22; 11; 41; 24; 21; 52; 55; 14; 44; 51; 32; 15; 31; 31; 21], , [101[1; 2; 4]1]
[25; 12; 11; 41; 21; 66; 66; 66; 66; 66], [22; 11; 41; 24; 21; 52; 55; 14; 44; 51; 32; 15; 31; 31], , [201[0]5]
[12; 11; 41; 21; 31; 66; 66; 66; 66; 66], [22; 11; 41; 24; 21; 52; 55; 14; 44; 51; 32; 15; 31], , [413]
[12; 41; 21; 31; 15; 66; 66; 66; 66; 66], [22; 11; 41; 24; 21; 52; 55; 14; 44; 51; 32], , [101[0; 4]1]
[12; 41; 21; 31; 32; 66; 66; 66; 66; 66], [22; 11; 41; 24; 21; 52; 55; 14; 44; 51], , [101[3; 4]3]
[12; 41; 21; 31; 51; 66; 66; 66; 66; 66], [22; 11; 41; 24; 21; 52; 55; 14; 44], , [310]
[12; 21; 31; 51; 14; 66; 66; 66; 66; 66], [22; 11; 41; 24; 21; 52; 55], , [410]
[12; 21; 31; 51; 52; 66; 66; 66; 66; 66], [22; 11; 41; 24; 21], , [410]
[12; 31; 51; 52; 24; 66; 66; 66; 66; 66], [22; 11; 41], , [410]
[12; 31; 51; 52; 24; 66; 66; 66; 66; 66], [22; 11], , [410]
[31; 51; 52; 24; 22; 66; 66; 66; 66; 66], [], , [201[0; 1]1]
