hand, deck, pile, move
[24; 15; 32; 11; 34; 66; 66; 66; 66; 66], [54; 33; 14; 51; 25; 35; 32; 44; 11; 12; 23; 41; 24; 14; 51; 31; 21; 13; 41; 21; 34; 22; 31; 54; 11; 43; 22; 13; 52; 42; 21; 55; 42; 52; 51; 12; 41; 33; 31; 44], , [101[1; 3]1]
[24; 15; 32; 34; 44; 66; 66; 66; 66; 66], [54; 33; 14; 51; 25; 35; 32; 44; 11; 12; 23; 41; 24; 14; 51; 31; 21; 13; 41; 21; 34; 22; 31; 54; 11; 43; 22; 13; 52; 42; 21; 55; 42; 52; 51; 12; 41; 33; 31], , [201[1]5]
[24; 15; 32; 34; 44; 66; 66; 66; 66; 66], [54; 33; 14; 51; 25; 35; 32; 44; 11; 12; 23; 41; 24; 14; 51; 31; 21; 13; 41; 21; 34; 22; 31; 54; 11; 43; 22; 13; 52; 42; 21; 55; 42; 52; 51; 12; 41; 33; 31], , [410]
[24; 15; 32; 34; 44; 66; 66; 66; 66; 66], [54; 33; 14; 51; 25; 35; 32; 44; 11; 12; 23; 41; 24; 14; 51; 31; 21; 13; 41; 21; 34; 22; 31; 54; 11; 43; 22; 13; 52; 42; 21; 55; 42; 52; 51; 12; 41; 33], , [314]
[24; 15; 32; 34; 41; 66; 66; 66; 66; 66], [54; 33; 14; 51; 25; 35; 32; 44; 11; 12; 23; 41; 24; 14; 51; 31; 21; 13; 41; 21; 34; 22; 31; 54; 11; 43; 22; 13; 52; 42; 21; 55; 42; 52; 51; 12], , [101[4]4]
[24; 15; 32; 34; 12; 66; 66; 66; 66; 66], [54; 33; 14; 51; 25; 35; 32; 44; 11; 12; 23; 41; 24; 14; 51; 31; 21; 13; 41; 21; 34; 22; 31; 54; 11; 43; 22; 13; 52; 42; 21; 55; 42; 52; 51], , [201[2; 4]2]
[24; 15; 32; 34; 51; 66; 66; 66; 66; 66], [54; 33; 14; 51; 25; 35; 32; 44; 11; 12; 23; 41; 24; 14; 51; 31; 21; 13; 41; 21; 34; 22; 31; 54; 11; 43; 22; 13; 52; 42; 21; 55; 42; 52], , [101[4]5]
[24; 15; 32; 34; 52; 66; 66; 66; 66; 66], [54; 33; 14; 51; 25; 35; 32; 44; 11; 12; 23; 41; 24; 14; 51; 31; 21; 13; 41; 21; 34; 22; 31; 54; 11; 43; 22; 13; 52; 42; 21; 55; 42], , [101[4]5]
[24; 15; 32; 34; 42; 66; 66; 66; 66; 66], [54; 33; 14; 51; 25; 35; 32; 44; 11; 12; 23; 41; 24; 14; 51; 31; 21; 13; 41; 21; 34; 22; 31; 54; 11; 43; 22; 13; 52; 42; 21; 55], , [101[4]4]
[24; 15; 32; 34; 55; 66; 66; 66; 66; 66], [54; 33; 14; 51; 25; 35; 32; 44; 11; 12; 23; 41; 24; 14; 51; 31; 21; 13; 41; 21; 34; 22; 31; 54; 11; 43; 22; 13; 52; 42; 21], , [414]
[24; 15; 32; 34; 55; 66; 66; 66; 66; 66], [54; 33; 14; 51; 25; 35; 32; 44; 11; 12; 23; 41; 24; 14; 51; 31; 21; 13; 41; 21; 34; 22; 31; 54; 11; 43; 22; 13; 52; 42], , [310]
[24; 15; 32; 34; 52; 66; 66; 66; 66; 66], [54; 33; 14; 51; 25; 35; 32; 44; 11; 12; 23; 41; 24; 14; 51; 31; 21; 13; 41; 21; 34; 22; 31; 54; 11; 43; 22; 13], , [101[0]2]
[24; 15; 34; 52; 13; 66; 66; 66; 66; 66], [54; 33; 14; 51; 25; 35; 32; 44; 11; 12; 23; 41; 24; 14; 51; 31; 21; 13; 41; 21; 34; 22; 31; 54; 11; 43; 22], , [414]
[24; 15; 34; 52; 13; 66; 66; 66; 66; 66], [54; 33; 14; 51; 25; 35; 32; 44; 11; 12; 23; 41; 24; 14; 51; 31; 21; 13; 41; 21; 34; 22; 31; 54; 11; 43], , [313]
[24; 15; 34; 13; 11; 66; 66; 66; 66; 66], [54; 33; 14; 51; 25; 35; 32; 44; 11; 12; 23; 41; 24; 14; 51; 31; 21; 13; 41; 21; 34; 22; 31; 54], , [414]
[24; 15; 34; 13; 11; 66; 66; 66; 66; 66], [54; 33; 14; 51; 25; 35; 32; 44; 11; 12; 23; 41; 24; 14; 51; 31; 21; 13; 41; 21; 34; 22; 31], , [313]
[24; 15; 34; 11; 22; 66; 66; 66; 66; 66], [54; 33; 14; 51; 25; 35; 32; 44; 11; 12; 23; 41; 24; 14; 51; 31; 21; 13; 41; 21; 34], , [311]
[24; 15; 34; 11; 22; 66; 66; 66; 66; 66], [54; 33; 14; 51; 25; 35; 32; 44; 11; 12; 23; 41; 24; 14; 51; 31; 21; 13; 41; 21], , [312]
[24; 15; 34; 22; 41; 66; 66; 66; 66; 66], [54; 33; 14; 51; 25; 35; 32; 44; 11; 12; 23; 41; 24; 14; 51; 31; 21; 13], , [411]
[24; 15; 34; 22; 41; 66; 66; 66; 66; 66], [54; 33; 14; 51; 25; 35; 32; 44; 11; 12; 23; 41; 24; 14; 51; 31; 21], , [314]
[24; 15; 34; 41; 31; 66; 66; 66; 66; 66], [54; 33; 14; 51; 25; 35; 32; 44; 11; 12; 23; 41; 24; 14; 51], , [414]
[24; 15; 34; 31; 14; 66; 66; 66; 66; 66], [54; 33; 14; 51; 25; 35; 32; 44; 11; 12; 23; 41; 24], , [201[0; 2; 4]4]
[24; 15; 34; 31; 24; 66; 66; 66; 66; 66], [54; 33; 14; 51; 25; 35; 32; 44; 11; 12; 23; 41], , [414]
[24; 34; 31; 24; 23; 66; 66; 66; 66; 66], [54; 33; 14; 51; 25; 35; 32; 44; 11; 12], , [101[0; 3; 4]2]
[24; 34; 31; 24; 12; 66; 66; 66; 66; 66], [54; 33; 14; 51; 25; 35; 32; 44; 11], , [201[0; 1; 3]4]
[34; 31; 24; 12; 11; 66; 66; 66; 66; 66], [54; 33; 14; 51; 25; 35; 32; 44], , [414]
[34; 31; 24; 12; 11; 66; 66; 66; 66; 66], [54; 33; 14; 51; 25; 35; 32], , [314]
[34; 31; 12; 11; 35; 66; 66; 66; 66; 66], [54; 33; 14; 51; 25], , [310]
[34; 31; 12; 11; 35; 66; 66; 66; 66; 66], [54; 33; 14; 51], , [314]
[34; 31; 11; 35; 14; 66; 66; 66; 66; 66], [54; 33], , [412]
[34; 31; 11; 35; 14; 66; 66; 66; 66; 66], [54], , [314]
[31; 11; 35; 14; 66; 66; 66; 66; 66], [], , [101[0; 2]3]
