hand, deck, pile, move
[53; 44; 41; 32; 23; 66; 66; 66; 66; 66], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43; 31; 52; 11; 53; 13; 33; 34; 43; 14; 31; 51; 44; 11; 21; 34; 45; 12; 52; 41; 22; 42; 12; 21; 35; 24; 33; 31; 54; 24; 15], , [311]
[53; 44; 41; 32; 23; 66; 66; 66; 66; 66], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43; 31; 52; 11; 53; 13; 33; 34; 43; 14; 31; 51; 44; 11; 21; 34; 45; 12; 52; 41; 22; 42; 12; 21; 35; 24; 33; 31; 54; 24], , [312]
[53; 44; 41; 32; 23; 66; 66; 66; 66; 66], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43; 31; 52; 11; 53; 13; 33; 34; 43; 14; 31; 51; 44; 11; 21; 34; 45; 12; 52; 41; 22; 42; 12; 21; 35; 24; 33; 31; 54], , [310]
[44; 41; 32; 23; 31; 66; 66; 66; 66; 66], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43; 31; 52; 11; 53; 13; 33; 34; 43; 14; 31; 51; 44; 11; 21; 34; 45; 12; 52; 41; 22; 42; 12; 21; 35; 24; 33], , [101[2; 4]3]
[44; 41; 32; 23; 33; 66; 66; 66; 66; 66], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43; 31; 52; 11; 53; 13; 33; 34; 43; 14; 31; 51; 44; 11; 21; 34; 45; 12; 52; 41; 22; 42; 12; 21; 35; 24], , [101[0; 1]4]
[44; 32; 23; 33; 24; 66; 66; 66; 66; 66], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43; 31; 52; 11; 53; 13; 33; 34; 43; 14; 31; 51; 44; 11; 21; 34; 45; 12; 52; 41; 22; 42; 12; 21; 35], , [201[1]2]
[44; 23; 33; 24; 35; 66; 66; 66; 66; 66], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43; 31; 52; 11; 53; 13; 33; 34; 43; 14; 31; 51; 44; 11; 21; 34; 45; 12; 52; 41; 22; 42; 12; 21], , [201[1; 2]3]
[44; 23; 24; 35; 21; 66; 66; 66; 66; 66], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43; 31; 52; 11; 53; 13; 33; 34; 43; 14; 31; 51; 44; 11; 21; 34; 45; 12; 52; 41; 22; 42; 12], , [101[1; 2; 4]2]
[44; 24; 35; 21; 12; 66; 66; 66; 66; 66], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43; 31; 52; 11; 53; 13; 33; 34; 43; 14; 31; 51; 44; 11; 21; 34; 45; 12; 52; 41; 22; 42], , [201[0; 1]4]
[44; 35; 21; 12; 42; 66; 66; 66; 66; 66], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43; 31; 52; 11; 53; 13; 33; 34; 43; 14; 31; 51; 44; 11; 21; 34; 45; 12; 52; 41; 22], , [414]
[44; 35; 12; 42; 41; 66; 66; 66; 66; 66], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43; 31; 52; 11; 53; 13; 33; 34; 43; 14; 31; 51; 44; 11; 21; 34; 45; 12; 52], , [201[2; 3]2]
[44; 35; 12; 41; 52; 66; 66; 66; 66; 66], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43; 31; 52; 11; 53; 13; 33; 34; 43; 14; 31; 51; 44; 11; 21; 34; 45; 12], , [101[4]5]
[44; 35; 12; 41; 12; 66; 66; 66; 66; 66], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43; 31; 52; 11; 53; 13; 33; 34; 43; 14; 31; 51; 44; 11; 21; 34; 45], , [414]
[44; 35; 12; 41; 12; 66; 66; 66; 66; 66], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43; 31; 52; 11; 53; 13; 33; 34; 43; 14; 31; 51; 44; 11; 21; 34], , [413]
