hand, deck, pile, move
[44; 35; 12; 41; 12; 66; 66; 66; 66; 66], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43; 31; 52; 11; 53; 13; 33; 34; 43; 14; 31; 51; 44; 11; 21], , [314]
[44; 35; 41; 12; 11; 66; 66; 66; 66; 66], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43; 31; 52; 11; 53; 13; 33; 34; 43; 14; 31; 51; 44], , [101[3; 4]1]
[44; 35; 41; 12; 44; 66; 66; 66; 66; 66], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43; 31; 52; 11; 53; 13; 33; 34; 43; 14; 31; 51], , [414]
[44; 35; 12; 44; 31; 66; 66; 66; 66; 66], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43; 31; 52; 11; 53; 13; 33; 34; 43; 14], , [201[1]5]
[44; 12; 44; 31; 14; 66; 66; 66; 66; 66], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43; 31; 52; 11; 53; 13; 33; 34; 43], , [201[1]2]
[44; 44; 31; 14; 43; 66; 66; 66; 66; 66], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43; 31; 52; 11; 53; 13; 33; 34], , [101[0; 1; 4]4]
[44; 44; 31; 14; 34; 66; 66; 66; 66; 66], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43; 31; 52; 11; 53; 13; 33], , [414]
[44; 31; 14; 34; 13; 66; 66; 66; 66; 66], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43; 31; 52; 11; 53], , [101[2; 4]1]
[44; 31; 14; 34; 53; 66; 66; 66; 66; 66], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43; 31; 52; 11], , [414]
[44; 31; 14; 34; 53; 66; 66; 66; 66; 66], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43; 31; 52], , [313]
[31; 14; 34; 53; 31; 66; 66; 66; 66; 66], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43], , [101[3]5]
[31; 14; 34; 31; 43; 66; 66; 66; 66; 66], [25; 51; 55; 23; 32; 14; 41; 11; 42], , [201[1; 2]4]
[31; 34; 31; 43; 42; 66; 66; 66; 66; 66], [25; 51; 55; 23; 32; 14; 41; 11], , [410]
[31; 34; 31; 43; 42; 66; 66; 66; 66; 66], [25; 51; 55; 23; 32; 14; 41], , [310]
[34; 31; 43; 42; 14; 66; 66; 66; 66; 66], [25; 51; 55; 23; 32], , [410]
[31; 43; 42; 14; 23; 66; 66; 66; 66; 66], [25; 51; 55], , [314]
[31; 43; 14; 23; 51; 66; 66; 66; 66; 66], [25], , [314]
[31; 43; 14; 23; 51; 66; 66; 66; 66; 66], [], , [314]
