hand, deck, pile, move
[11; 42; 13; 53; 51; 66; 66; 66; 66; 66], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22; 33; 22; 15; 42; 34; 12; 11; 55; 43; 21; 31; 24; 23; 25; 44; 35; 33; 14; 44; 34; 24; 43; 41; 41; 21; 31; 53; 12; 32; 14], , [312]
[11; 42; 13; 53; 51; 66; 66; 66; 66; 66], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22; 33; 22; 15; 42; 34; 12; 11; 55; 43; 21; 31; 24; 23; 25; 44; 35; 33; 14; 44; 34; 24; 43; 41; 41; 21; 31; 53; 12; 32], , [412]
[11; 42; 13; 53; 12; 66; 66; 66; 66; 66], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22; 33; 22; 15; 42; 34; 12; 11; 55; 43; 21; 31; 24; 23; 25; 44; 35; 33; 14; 44; 34; 24; 43; 41; 41; 21; 31; 53], , [101[1]4]
[11; 13; 53; 12; 53; 66; 66; 66; 66; 66], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22; 33; 22; 15; 42; 34; 12; 11; 55; 43; 21; 31; 24; 23; 25; 44; 35; 33; 14; 44; 34; 24; 43; 41; 41; 21; 31], , [201[0]1]
[13; 53; 12; 53; 31; 66; 66; 66; 66; 66], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22; 33; 22; 15; 42; 34; 12; 11; 55; 43; 21; 31; 24; 23; 25; 44; 35; 33; 14; 44; 34; 24; 43; 41; 41; 21], , [101[0; 2]1]
[13; 53; 53; 31; 21; 66; 66; 66; 66; 66], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22; 33; 22; 15; 42; 34; 12; 11; 55; 43; 21; 31; 24; 23; 25; 44; 35; 33; 14; 44; 34; 24; 43; 41; 41], , [201[3; 4]1]
[13; 53; 53; 31; 41; 66; 66; 66; 66; 66], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22; 33; 22; 15; 42; 34; 12; 11; 55; 43; 21; 31; 24; 23; 25; 44; 35; 33; 14; 44; 34; 24; 43; 41], , [201[0; 1; 2]3]
[53; 53; 31; 41; 41; 66; 66; 66; 66; 66], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22; 33; 22; 15; 42; 34; 12; 11; 55; 43; 21; 31; 24; 23; 25; 44; 35; 33; 14; 44; 34; 24; 43], , [101[2]3]
[53; 53; 41; 41; 43; 66; 66; 66; 66; 66], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22; 33; 22; 15; 42; 34; 12; 11; 55; 43; 21; 31; 24; 23; 25; 44; 35; 33; 14; 44; 34; 24], , [101[2; 3; 4]4]
[53; 53; 41; 41; 24; 66; 66; 66; 66; 66], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22; 33; 22; 15; 42; 34; 12; 11; 55; 43; 21; 31; 24; 23; 25; 44; 35; 33; 14; 44; 34], , [412]
