hand, deck, pile, move
[53; 53; 41; 41; 24; 66; 66; 66; 66; 66], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22; 33; 22; 15; 42; 34; 12; 11; 55; 43; 21; 31; 24; 23; 25; 44; 35; 33; 14; 44], , [313]
[53; 53; 41; 24; 14; 66; 66; 66; 66; 66], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22; 33; 22; 15; 42; 34; 12; 11; 55; 43; 21; 31; 24; 23; 25; 44; 35; 33], , [201[3; 4]4]
[53; 53; 41; 24; 33; 66; 66; 66; 66; 66], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22; 33; 22; 15; 42; 34; 12; 11; 55; 43; 21; 31; 24; 23; 25; 44; 35], , [414]
[53; 53; 41; 24; 33; 66; 66; 66; 66; 66], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22; 33; 22; 15; 42; 34; 12; 11; 55; 43; 21; 31; 24; 23; 25; 44], , [412]
[53; 53; 41; 24; 33; 66; 66; 66; 66; 66], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22; 33; 22; 15; 42; 34; 12; 11; 55; 43; 21; 31; 24; 23; 25], , [314]
[53; 53; 24; 33; 23; 66; 66; 66; 66; 66], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22; 33; 22; 15; 42; 34; 12; 11; 55; 43; 21; 31; 24], , [311]
[53; 53; 24; 23; 31; 66; 66; 66; 66; 66], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22; 33; 22; 15; 42; 34; 12; 11; 55; 43; 21], , [411]
[53; 53; 24; 23; 31; 66; 66; 66; 66; 66], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22; 33; 22; 15; 42; 34; 12; 11; 55; 43], , [413]
[53; 53; 24; 31; 55; 66; 66; 66; 66; 66], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22; 33; 22; 15; 42; 34; 12; 11], , [413]
[53; 53; 24; 55; 12; 66; 66; 66; 66; 66], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22; 33; 22; 15; 42; 34], , [201[3]5]
[53; 53; 24; 55; 34; 66; 66; 66; 66; 66], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22; 33; 22; 15; 42], , [201[2; 4]4]
[53; 24; 55; 34; 42; 66; 66; 66; 66; 66], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22; 33; 22; 15], , [413]
[53; 24; 55; 34; 42; 66; 66; 66; 66; 66], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22; 33; 22], , [314]
[53; 24; 55; 34; 42; 66; 66; 66; 66; 66], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22; 33], , [314]
[53; 24; 55; 34; 42; 66; 66; 66; 66; 66], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22], , [314]
[53; 24; 55; 34; 52; 66; 66; 66; 66; 66], [23; 51; 54; 32; 13; 11; 31; 52], , [101[0; 2; 4]5]
[53; 24; 55; 34; 52; 66; 66; 66; 66; 66], [23; 51; 54; 32; 13; 11; 31], , [101[1]2]
[24; 55; 34; 52; 31; 66; 66; 66; 66; 66], [23; 51; 54; 32; 13; 11], , [310]
[24; 55; 52; 31; 13; 66; 66; 66; 66; 66], [23; 51; 54; 32], , [310]
[24; 52; 31; 13; 54; 66; 66; 66; 66; 66], [23; 51], , [314]
[24; 52; 31; 13; 23; 66; 66; 66; 66; 66], [], , [201[3; 4]3]
