hand, deck, pile, move
[31; 35; 24; 22; 24; 66; 66; 66; 66; 66], [11; 45; 31; 22; 13; 32; 23; 32; 41; 12; 54; 41; 51; 13; 44; 11; 52; 53; 34; 44; 15; 33; 23; 31; 21; 53; 51; 25; 54; 42; 14; 51; 33; 14; 34; 43; 42; 11; 12; 52], , [310]
[31; 35; 24; 22; 24; 66; 66; 66; 66; 66], [11; 45; 31; 22; 13; 32; 23; 32; 41; 12; 54; 41; 51; 13; 44; 11; 52; 53; 34; 44; 15; 33; 23; 31; 21; 53; 51; 25; 54; 42; 14; 51; 33; 14; 34; 43; 42; 11; 12], , [312]
[35; 24; 22; 24; 11; 66; 66; 66; 66; 66], [11; 45; 31; 22; 13; 32; 23; 32; 41; 12; 54; 41; 51; 13; 44; 11; 52; 53; 34; 44; 15; 33; 23; 31; 21; 53; 51; 25; 54; 42; 14; 51; 33; 14; 34; 43; 42], , [101[4]1]
[35; 24; 22; 24; 42; 66; 66; 66; 66; 66], [11; 45; 31; 22; 13; 32; 23; 32; 41; 12; 54; 41; 51; 13; 44; 11; 52; 53; 34; 44; 15; 33; 23; 31; 21; 53; 51; 25; 54; 42; 14; 51; 33; 14; 34; 43], , [201[2; 4]2]
[35; 24; 22; 24; 43; 66; 66; 66; 66; 66], [11; 45; 31; 22; 13; 32; 23; 32; 41; 12; 54; 41; 51; 13; 44; 11; 52; 53; 34; 44; 15; 33; 23; 31; 21; 53; 51; 25; 54; 42; 14; 51; 33; 14; 34], , [101[1; 2; 3]2]
[35; 24; 24; 43; 34; 66; 66; 66; 66; 66], [11; 45; 31; 22; 13; 32; 23; 32; 41; 12; 54; 41; 51; 13; 44; 11; 52; 53; 34; 44; 15; 33; 23; 31; 21; 53; 51; 25; 54; 42; 14; 51; 33; 14], , [201[3]3]
[35; 24; 24; 34; 14; 66; 66; 66; 66; 66], [11; 45; 31; 22; 13; 32; 23; 32; 41; 12; 54; 41; 51; 13; 44; 11; 52; 53; 34; 44; 15; 33; 23; 31; 21; 53; 51; 25; 54; 42; 14; 51; 33], , [410]
[35; 24; 24; 34; 14; 66; 66; 66; 66; 66], [11; 45; 31; 22; 13; 32; 23; 32; 41; 12; 54; 41; 51; 13; 44; 11; 52; 53; 34; 44; 15; 33; 23; 31; 21; 53; 51; 25; 54; 42; 14; 51], , [313]
[35; 24; 24; 34; 14; 66; 66; 66; 66; 66], [11; 45; 31; 22; 13; 32; 23; 32; 41; 12; 54; 41; 51; 13; 44; 11; 52; 53; 34; 44; 15; 33; 23; 31; 21; 53; 51; 25; 54; 42; 14], , [314]
[35; 24; 34; 14; 42; 66; 66; 66; 66; 66], [11; 45; 31; 22; 13; 32; 23; 32; 41; 12; 54; 41; 51; 13; 44; 11; 52; 53; 34; 44; 15; 33; 23; 31; 21; 53; 51; 25; 54], , [312]
[35; 24; 14; 42; 25; 66; 66; 66; 66; 66], [11; 45; 31; 22; 13; 32; 23; 32; 41; 12; 54; 41; 51; 13; 44; 11; 52; 53; 34; 44; 15; 33; 23; 31; 21; 53; 51], , [413]
[35; 24; 42; 25; 53; 66; 66; 66; 66; 66], [11; 45; 31; 22; 13; 32; 23; 32; 41; 12; 54; 41; 51; 13; 44; 11; 52; 53; 34; 44; 15; 33; 23; 31; 21], , [101[4]5]
[35; 24; 42; 25; 21; 66; 66; 66; 66; 66], [11; 45; 31; 22; 13; 32; 23; 32; 41; 12; 54; 41; 51; 13; 44; 11; 52; 53; 34; 44; 15; 33; 23; 31], , [413]
[35; 24; 42; 25; 21; 66; 66; 66; 66; 66], [11; 45; 31; 22; 13; 32; 23; 32; 41; 12; 54; 41; 51; 13; 44; 11; 52; 53; 34; 44; 15; 33; 23], , [314]
