hand, deck, pile, move
[35; 24; 42; 25; 21; 66; 66; 66; 66; 66], [11; 45; 31; 22; 13; 32; 23; 32; 41; 12; 54; 41; 51; 13; 44; 11; 52; 53; 34; 44; 15; 33], , [314]
[35; 24; 42; 25; 15; 66; 66; 66; 66; 66], [11; 45; 31; 22; 13; 32; 23; 32; 41; 12; 54; 41; 51; 13; 44; 11; 52; 53; 34; 44], , [201[1]4]
[35; 42; 25; 15; 44; 66; 66; 66; 66; 66], [11; 45; 31; 22; 13; 32; 23; 32; 41; 12; 54; 41; 51; 13; 44; 11; 52; 53; 34], , [101[1; 4]4]
[35; 42; 25; 15; 34; 66; 66; 66; 66; 66], [11; 45; 31; 22; 13; 32; 23; 32; 41; 12; 54; 41; 51; 13; 44; 11; 52; 53], , [101[2]2]
[35; 42; 15; 34; 53; 66; 66; 66; 66; 66], [11; 45; 31; 22; 13; 32; 23; 32; 41; 12; 54; 41; 51; 13; 44; 11; 52], , [410]
[35; 15; 34; 53; 11; 66; 66; 66; 66; 66], [11; 45; 31; 22; 13; 32; 23; 32; 41; 12; 54; 41; 51; 13; 44], , [412]
[35; 34; 53; 11; 13; 66; 66; 66; 66; 66], [11; 45; 31; 22; 13; 32; 23; 32; 41; 12; 54; 41; 51], , [101[3; 4]1]
[35; 34; 53; 11; 51; 66; 66; 66; 66; 66], [11; 45; 31; 22; 13; 32; 23; 32; 41; 12; 54; 41], , [412]
[35; 34; 53; 11; 51; 66; 66; 66; 66; 66], [11; 45; 31; 22; 13; 32; 23; 32; 41; 12; 54], , [412]
[35; 34; 53; 11; 51; 66; 66; 66; 66; 66], [11; 45; 31; 22; 13; 32; 23; 32; 41; 12], , [314]
[35; 34; 53; 51; 41; 66; 66; 66; 66; 66], [11; 45; 31; 22; 13; 32; 23; 32], , [310]
[35; 34; 53; 51; 41; 66; 66; 66; 66; 66], [11; 45; 31; 22; 13; 32; 23], , [314]
[35; 34; 53; 41; 32; 66; 66; 66; 66; 66], [11; 45; 31; 22; 13], , [310]
[35; 34; 53; 41; 32; 66; 66; 66; 66; 66], [11; 45; 31; 22], , [201[1]4]
[35; 53; 41; 32; 22; 66; 66; 66; 66; 66], [11; 45; 31], , [201[2]1]
[53; 41; 32; 22; 31; 66; 66; 66; 66; 66], [11; 45], , [311]
[53; 41; 32; 22; 31; 66; 66; 66; 66; 66], [11], , [314]
[41; 32; 22; 31; 66; 66; 66; 66; 66], [], , [410]
