hand, deck, pile, move
[66; 66; 66; 66; 66; 23; 15; 12; 45; 31], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51; 51; 35; 34; 51; 11; 52; 21; 53; 42; 11; 32; 31; 24; 54; 11; 14; 44; 34; 43], , [304]
[66; 66; 66; 66; 66; 23; 15; 12; 45; 31], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51; 51; 35; 34; 51; 11; 52; 21; 53; 42; 11; 32; 31; 24; 54; 11; 14; 44; 34], , [304]
[66; 66; 66; 66; 66; 23; 15; 12; 45; 31], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51; 51; 35; 34; 51; 11; 52; 21; 53; 42; 11; 32; 31; 24; 54; 11; 14; 44], , [303]
[66; 66; 66; 66; 66; 23; 15; 12; 45; 31], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51; 51; 35; 34; 51; 11; 52; 21; 53; 42; 11; 32; 31; 24; 54; 11; 14], , [303]
[66; 66; 66; 66; 66; 23; 15; 12; 45; 11], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51; 51; 35; 34; 51; 11; 52; 21; 53; 42; 11; 32; 31; 24; 54], , [110[1; 2; 4]1]
[66; 66; 66; 66; 66; 23; 15; 12; 45; 54], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51; 51; 35; 34; 51; 11; 52; 21; 53; 42; 11; 32; 31; 24], , [210[0]3]
[66; 66; 66; 66; 66; 15; 12; 45; 54; 24], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51; 51; 35; 34; 51; 11; 52; 21; 53; 42; 11; 32; 31], , [402]
[66; 66; 66; 66; 66; 15; 12; 54; 24; 32], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51; 51; 35; 34; 51; 11; 52; 21; 53; 42; 11], , [210[2; 3]4]
[66; 66; 66; 66; 66; 12; 54; 24; 32; 11], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51; 51; 35; 34; 51; 11; 52; 21; 53; 42], , [110[2]2]
[66; 66; 66; 66; 66; 12; 54; 32; 11; 42], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51; 51; 35; 34; 51; 11; 52; 21; 53], , [301]
[66; 66; 66; 66; 66; 12; 54; 32; 11; 21], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51; 51; 35; 34; 51; 11; 52], , [402]
[66; 66; 66; 66; 66; 12; 54; 32; 11; 11], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51; 51; 35; 34; 51], , [402]
[66; 66; 66; 66; 66; 12; 54; 32; 11; 11], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51; 51; 35; 34], , [304]
[66; 66; 66; 66; 66; 12; 54; 32; 11; 11], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51; 51; 35], , [303]
[66; 66; 66; 66; 66; 12; 54; 32; 11; 11], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51; 51], , [304]
[66; 66; 66; 66; 66; 12; 54; 32; 11; 11], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51], , [302]
[66; 66; 66; 66; 66; 12; 54; 32; 11; 24], [14; 41; 52; 54; 33; 21; 53; 13], , [110[1]5]
[66; 66; 66; 66; 66; 12; 32; 11; 24; 13], [14; 41; 52; 54; 33; 21; 53], , [300]
[66; 66; 66; 66; 66; 12; 11; 24; 13; 21], [14; 41; 52; 54; 33], , [210[3]3]
[66; 66; 66; 66; 66; 12; 11; 24; 13; 33], [14; 41; 52; 54], , [401]
[66; 66; 66; 66; 66; 12; 11; 24; 13; 52], [14; 41], , [402]
[66; 66; 66; 66; 66; 12; 24; 13; 52; 14], [], , [401]
