hand, deck, pile, move
[66; 66; 66; 66; 66; 23; 12; 31; 41; 15], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51; 51; 35; 34; 51; 11; 52; 21; 53; 42; 11; 32; 31; 24; 54; 11; 14; 44; 34; 43; 33; 42; 32; 22; 31; 45; 44; 41; 22; 12; 21], , [210[2; 3]1]
[66; 66; 66; 66; 66; 23; 12; 31; 41; 15], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51; 51; 35; 34; 51; 11; 52; 21; 53; 42; 11; 32; 31; 24; 54; 11; 14; 44; 34; 43; 33; 42; 32; 22; 31; 45; 44; 41; 22; 12; 21], , [401]
[66; 66; 66; 66; 66; 23; 12; 41; 15; 12], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51; 51; 35; 34; 51; 11; 52; 21; 53; 42; 11; 32; 31; 24; 54; 11; 14; 44; 34; 43; 33; 42; 32; 22; 31; 45; 44; 41; 22], , [110[2]4]
[66; 66; 66; 66; 66; 23; 12; 15; 12; 22], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51; 51; 35; 34; 51; 11; 52; 21; 53; 42; 11; 32; 31; 24; 54; 11; 14; 44; 34; 43; 33; 42; 32; 22; 31; 45; 44; 41], , [401]
[66; 66; 66; 66; 66; 23; 12; 15; 12; 22], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51; 51; 35; 34; 51; 11; 52; 21; 53; 42; 11; 32; 31; 24; 54; 11; 14; 44; 34; 43; 33; 42; 32; 22; 31; 45; 44], , [303]
[66; 66; 66; 66; 66; 23; 12; 15; 12; 45], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51; 51; 35; 34; 51; 11; 52; 21; 53; 42; 11; 32; 31; 24; 54; 11; 14; 44; 34; 43; 33; 42; 32; 22; 31], , [210[2; 4]5]
[66; 66; 66; 66; 66; 23; 15; 12; 45; 31], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51; 51; 35; 34; 51; 11; 52; 21; 53; 42; 11; 32; 31; 24; 54; 11; 14; 44; 34; 43; 33; 42; 32; 22], , [402]
[66; 66; 66; 66; 66; 23; 15; 12; 45; 31], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51; 51; 35; 34; 51; 11; 52; 21; 53; 42; 11; 32; 31; 24; 54; 11; 14; 44; 34; 43; 33; 42; 32], , [304]
[66; 66; 66; 66; 66; 23; 15; 12; 45; 31], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51; 51; 35; 34; 51; 11; 52; 21; 53; 42; 11; 32; 31; 24; 54; 11; 14; 44; 34; 43; 33; 42], , [304]
[66; 66; 66; 66; 66; 23; 15; 12; 45; 31], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51; 51; 35; 34; 51; 11; 52; 21; 53; 42; 11; 32; 31; 24; 54; 11; 14; 44; 34; 43; 33], , [304]
