hand, deck, pile, move
[66; 66; 66; 66; 66; 22; 21; 13; 51; 54], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43; 31; 52; 11; 53; 13; 33; 34; 43; 14; 31; 51; 44; 11; 21; 34; 45; 12; 52; 41; 22; 42; 12; 21; 35; 24; 33; 31; 54; 24; 15], , [110[0; 1]2]
[66; 66; 66; 66; 66; 22; 13; 51; 54; 15], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43; 31; 52; 11; 53; 13; 33; 34; 43; 14; 31; 51; 44; 11; 21; 34; 45; 12; 52; 41; 22; 42; 12; 21; 35; 24; 33; 31; 54; 24], , [210[2]1]
[66; 66; 66; 66; 66; 22; 13; 54; 15; 24], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43; 31; 52; 11; 53; 13; 33; 34; 43; 14; 31; 51; 44; 11; 21; 34; 45; 12; 52; 41; 22; 42; 12; 21; 35; 24; 33; 31; 54], , [210[0]2]
[66; 66; 66; 66; 66; 13; 54; 15; 24; 54], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43; 31; 52; 11; 53; 13; 33; 34; 43; 14; 31; 51; 44; 11; 21; 34; 45; 12; 52; 41; 22; 42; 12; 21; 35; 24; 33; 31], , [400]
[66; 66; 66; 66; 66; 13; 54; 15; 24; 54], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43; 31; 52; 11; 53; 13; 33; 34; 43; 14; 31; 51; 44; 11; 21; 34; 45; 12; 52; 41; 22; 42; 12; 21; 35; 24; 33], , [304]
[66; 66; 66; 66; 66; 13; 54; 15; 24; 54], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43; 31; 52; 11; 53; 13; 33; 34; 43; 14; 31; 51; 44; 11; 21; 34; 45; 12; 52; 41; 22; 42; 12; 21; 35; 24], , [301]
[66; 66; 66; 66; 66; 13; 54; 15; 24; 54], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43; 31; 52; 11; 53; 13; 33; 34; 43; 14; 31; 51; 44; 11; 21; 34; 45; 12; 52; 41; 22; 42; 12; 21; 35], , [301]
[66; 66; 66; 66; 66; 13; 54; 15; 24; 54], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43; 31; 52; 11; 53; 13; 33; 34; 43; 14; 31; 51; 44; 11; 21; 34; 45; 12; 52; 41; 22; 42; 12; 21], , [302]
[66; 66; 66; 66; 66; 13; 54; 15; 24; 54], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43; 31; 52; 11; 53; 13; 33; 34; 43; 14; 31; 51; 44; 11; 21; 34; 45; 12; 52; 41; 22; 42; 12], , [301]
[66; 66; 66; 66; 66; 13; 54; 15; 24; 54], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43; 31; 52; 11; 53; 13; 33; 34; 43; 14; 31; 51; 44; 11; 21; 34; 45; 12; 52; 41; 22; 42], , [301]
[66; 66; 66; 66; 66; 13; 15; 24; 54; 22], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43; 31; 52; 11; 53; 13; 33; 34; 43; 14; 31; 51; 44; 11; 21; 34; 45; 12; 52; 41], , [402]
[66; 66; 66; 66; 66; 13; 15; 24; 54; 22], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43; 31; 52; 11; 53; 13; 33; 34; 43; 14; 31; 51; 44; 11; 21; 34; 45; 12; 52], , [303]
[66; 66; 66; 66; 66; 13; 15; 24; 54; 22], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43; 31; 52; 11; 53; 13; 33; 34; 43; 14; 31; 51; 44; 11; 21; 34; 45; 12], , [304]
[66; 66; 66; 66; 66; 13; 15; 24; 54; 45], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43; 31; 52; 11; 53; 13; 33; 34; 43; 14; 31; 51; 44; 11; 21; 34], , [210[1; 4]5]
[66; 66; 66; 66; 66; 13; 15; 24; 45; 34], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43; 31; 52; 11; 53; 13; 33; 34; 43; 14; 31; 51; 44; 11; 21], , [210[2; 4]4]
[66; 66; 66; 66; 66; 13; 15; 24; 45; 21], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43; 31; 52; 11; 53; 13; 33; 34; 43; 14; 31; 51; 44; 11], , [402]
[66; 66; 66; 66; 66; 13; 15; 24; 45; 21], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43; 31; 52; 11; 53; 13; 33; 34; 43; 14; 31; 51; 44], , [304]
[66; 66; 66; 66; 66; 13; 15; 24; 45; 51], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43; 31; 52; 11; 53; 13; 33; 34; 43; 14; 31], , [402]
[66; 66; 66; 66; 66; 13; 15; 24; 45; 51], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43; 31; 52; 11; 53; 13; 33; 34; 43; 14], , [301]
[66; 66; 66; 66; 66; 13; 15; 24; 45; 51], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43; 31; 52; 11; 53; 13; 33; 34; 43], , [301]
[66; 66; 66; 66; 66; 13; 15; 24; 45; 51], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43; 31; 52; 11; 53; 13; 33; 34], , [304]
[66; 66; 66; 66; 66; 13; 15; 24; 45; 33], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43; 31; 52; 11; 53; 13], , [300]
[66; 66; 66; 66; 66; 13; 15; 24; 45; 33], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43; 31; 52; 11; 53], , [304]
[66; 66; 66; 66; 66; 13; 15; 24; 45; 11], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43; 31; 52], , [110[3]4]
[66; 66; 66; 66; 66; 13; 15; 24; 11; 52], [25; 51; 55; 23; 32; 14; 41; 11; 42; 43; 31], , [400]
