hand, deck, pile, move
[66; 66; 66; 66; 66; 54; 45; 41; 51; 21], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22; 33; 22; 15; 42; 34; 12; 11; 55; 43; 21; 31; 24; 23; 25; 44; 35; 33; 14; 44; 34; 24; 43; 41; 41; 21; 31; 53; 12; 32; 14], , [210[2; 3; 4]1]
[66; 66; 66; 66; 66; 54; 45; 51; 21; 14], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22; 33; 22; 15; 42; 34; 12; 11; 55; 43; 21; 31; 24; 23; 25; 44; 35; 33; 14; 44; 34; 24; 43; 41; 41; 21; 31; 53; 12; 32], , [110[0; 2]5]
[66; 66; 66; 66; 66; 54; 45; 21; 14; 32], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22; 33; 22; 15; 42; 34; 12; 11; 55; 43; 21; 31; 24; 23; 25; 44; 35; 33; 14; 44; 34; 24; 43; 41; 41; 21; 31; 53; 12], , [304]
[66; 66; 66; 66; 66; 54; 45; 21; 14; 32], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22; 33; 22; 15; 42; 34; 12; 11; 55; 43; 21; 31; 24; 23; 25; 44; 35; 33; 14; 44; 34; 24; 43; 41; 41; 21; 31; 53], , [301]
[66; 66; 66; 66; 66; 54; 45; 21; 14; 32], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22; 33; 22; 15; 42; 34; 12; 11; 55; 43; 21; 31; 24; 23; 25; 44; 35; 33; 14; 44; 34; 24; 43; 41; 41; 21; 31], , [300]
[66; 66; 66; 66; 66; 54; 45; 21; 14; 32], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22; 33; 22; 15; 42; 34; 12; 11; 55; 43; 21; 31; 24; 23; 25; 44; 35; 33; 14; 44; 34; 24; 43; 41; 41; 21], , [302]
[66; 66; 66; 66; 66; 54; 45; 21; 14; 32], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22; 33; 22; 15; 42; 34; 12; 11; 55; 43; 21; 31; 24; 23; 25; 44; 35; 33; 14; 44; 34; 24; 43; 41; 41], , [304]
[66; 66; 66; 66; 66; 54; 45; 21; 14; 32], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22; 33; 22; 15; 42; 34; 12; 11; 55; 43; 21; 31; 24; 23; 25; 44; 35; 33; 14; 44; 34; 24; 43; 41], , [300]
[66; 66; 66; 66; 66; 54; 45; 21; 14; 32], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22; 33; 22; 15; 42; 34; 12; 11; 55; 43; 21; 31; 24; 23; 25; 44; 35; 33; 14; 44; 34; 24; 43], , [302]
[66; 66; 66; 66; 66; 54; 45; 21; 14; 32], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22; 33; 22; 15; 42; 34; 12; 11; 55; 43; 21; 31; 24; 23; 25; 44; 35; 33; 14; 44; 34; 24], , [304]
[66; 66; 66; 66; 66; 54; 45; 14; 32; 34], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22; 33; 22; 15; 42; 34; 12; 11; 55; 43; 21; 31; 24; 23; 25; 44; 35; 33; 14; 44], , [210[3]2]
[66; 66; 66; 66; 66; 54; 45; 14; 34; 44], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22; 33; 22; 15; 42; 34; 12; 11; 55; 43; 21; 31; 24; 23; 25; 44; 35; 33; 14], , [403]
[66; 66; 66; 66; 66; 54; 45; 14; 34; 44], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22; 33; 22; 15; 42; 34; 12; 11; 55; 43; 21; 31; 24; 23; 25; 44; 35; 33], , [304]
[66; 66; 66; 66; 66; 54; 45; 14; 34; 35], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22; 33; 22; 15; 42; 34; 12; 11; 55; 43; 21; 31; 24; 23; 25; 44], , [210[1; 4]5]
[66; 66; 66; 66; 66; 54; 45; 34; 35; 44], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22; 33; 22; 15; 42; 34; 12; 11; 55; 43; 21; 31; 24; 23; 25], , [110[1; 4]4]
[66; 66; 66; 66; 66; 54; 45; 34; 35; 25], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22; 33; 22; 15; 42; 34; 12; 11; 55; 43; 21; 31; 24; 23], , [402]
[66; 66; 66; 66; 66; 54; 34; 35; 25; 24], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22; 33; 22; 15; 42; 34; 12; 11; 55; 43; 21; 31], , [403]
[66; 66; 66; 66; 66; 54; 35; 25; 24; 21], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22; 33; 22; 15; 42; 34; 12; 11; 55; 43], , [210[1; 2]5]
[66; 66; 66; 66; 66; 54; 35; 25; 21; 43], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22; 33; 22; 15; 42; 34; 12; 11; 55], , [403]
[66; 66; 66; 66; 66; 54; 35; 25; 43; 11], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22; 33; 22; 15; 42; 34; 12], , [403]
[66; 66; 66; 66; 66; 54; 35; 25; 43; 11], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22; 33; 22; 15; 42; 34], , [404]
[66; 66; 66; 66; 66; 54; 35; 25; 43; 11], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22; 33; 22; 15; 42], , [400]
[66; 66; 66; 66; 66; 54; 35; 25; 11; 15], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22; 33; 22], , [110[3; 4]1]
[66; 66; 66; 66; 66; 54; 35; 25; 11; 22], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22; 33], , [110[2; 4]2]
[66; 66; 66; 66; 66; 54; 35; 25; 11; 33], [23; 51; 54; 32; 13; 11; 31; 52; 52; 22], , [210[4]3]
[66; 66; 66; 66; 66; 54; 35; 25; 11; 22], [23; 51; 54; 32; 13; 11; 31; 52; 52], , [404]
[66; 66; 66; 66; 66; 54; 35; 25; 11; 22], [23; 51; 54; 32; 13; 11; 31; 52], , [304]
[66; 66; 66; 66; 66; 54; 35; 25; 11; 22], [23; 51; 54; 32; 13; 11; 31], , [300]
[66; 66; 66; 66; 66; 35; 25; 11; 22; 11], [23; 51; 54; 32; 13], , [302]
[66; 66; 66; 66; 66; 25; 11; 22; 11; 32], [23; 51; 54], , [301]
[66; 66; 66; 66; 66; 25; 11; 22; 11; 51], [23], , [304]
[66; 66; 66; 66; 66; 25; 11; 22; 11; 51], [], , [304]
