hand, deck, pile, move
[66; 66; 66; 66; 66; 43; 51; 53; 33; 43], [22; 11; 41; 24; 21; 52; 55; 14; 44; 51; 32; 15; 31; 31; 21; 14; 35; 42; 41; 33; 23; 23; 11; 44; 45; 34; 24; 54; 42; 34; 11; 12; 22; 13; 12; 25; 13; 54; 41; 32], , [210[1]1]
[66; 66; 66; 66; 66; 43; 53; 33; 43; 32], [22; 11; 41; 24; 21; 52; 55; 14; 44; 51; 32; 15; 31; 31; 21; 14; 35; 42; 41; 33; 23; 23; 11; 44; 45; 34; 24; 54; 42; 34; 11; 12; 22; 13; 12; 25; 13; 54; 41], , [400]
[66; 66; 66; 66; 66; 43; 53; 33; 43; 32], [22; 11; 41; 24; 21; 52; 55; 14; 44; 51; 32; 15; 31; 31; 21; 14; 35; 42; 41; 33; 23; 23; 11; 44; 45; 34; 24; 54; 42; 34; 11; 12; 22; 13; 12; 25; 13; 54], , [400]
[66; 66; 66; 66; 66; 43; 53; 33; 43; 32], [22; 11; 41; 24; 21; 52; 55; 14; 44; 51; 32; 15; 31; 31; 21; 14; 35; 42; 41; 33; 23; 23; 11; 44; 45; 34; 24; 54; 42; 34; 11; 12; 22; 13; 12; 25; 13], , [300]
[66; 66; 66; 66; 66; 43; 53; 33; 43; 32], [22; 11; 41; 24; 21; 52; 55; 14; 44; 51; 32; 15; 31; 31; 21; 14; 35; 42; 41; 33; 23; 23; 11; 44; 45; 34; 24; 54; 42; 34; 11; 12; 22; 13; 12; 25], , [300]
[66; 66; 66; 66; 66; 43; 53; 33; 43; 32], [22; 11; 41; 24; 21; 52; 55; 14; 44; 51; 32; 15; 31; 31; 21; 14; 35; 42; 41; 33; 23; 23; 11; 44; 45; 34; 24; 54; 42; 34; 11; 12; 22; 13; 12], , [300]
[66; 66; 66; 66; 66; 43; 53; 33; 43; 32], [22; 11; 41; 24; 21; 52; 55; 14; 44; 51; 32; 15; 31; 31; 21; 14; 35; 42; 41; 33; 23; 23; 11; 44; 45; 34; 24; 54; 42; 34; 11; 12; 22; 13], , [300]
[66; 66; 66; 66; 66; 43; 53; 33; 43; 22], [22; 11; 41; 24; 21; 52; 55; 14; 44; 51; 32; 15; 31; 31; 21; 14; 35; 42; 41; 33; 23; 23; 11; 44; 45; 34; 24; 54; 42; 34; 11; 12], , [110[4]2]
[66; 66; 66; 66; 66; 43; 53; 33; 43; 12], [22; 11; 41; 24; 21; 52; 55; 14; 44; 51; 32; 15; 31; 31; 21; 14; 35; 42; 41; 33; 23; 23; 11; 44; 45; 34; 24; 54; 42; 34; 11], , [110[1]5]
[66; 66; 66; 66; 66; 43; 33; 43; 12; 11], [22; 11; 41; 24; 21; 52; 55; 14; 44; 51; 32; 15; 31; 31; 21; 14; 35; 42; 41; 33; 23; 23; 11; 44; 45; 34; 24; 54; 42; 34], , [110[3; 4]1]
[66; 66; 66; 66; 66; 43; 33; 43; 12; 34], [22; 11; 41; 24; 21; 52; 55; 14; 44; 51; 32; 15; 31; 31; 21; 14; 35; 42; 41; 33; 23; 23; 11; 44; 45; 34; 24; 54; 42], , [210[3]2]
[66; 66; 66; 66; 66; 43; 33; 43; 34; 42], [22; 11; 41; 24; 21; 52; 55; 14; 44; 51; 32; 15; 31; 31; 21; 14; 35; 42; 41; 33; 23; 23; 11; 44; 45; 34; 24; 54], , [110[0; 2; 4]4]
[66; 66; 66; 66; 66; 43; 33; 43; 34; 54], [22; 11; 41; 24; 21; 52; 55; 14; 44; 51; 32; 15; 31; 31; 21; 14; 35; 42; 41; 33; 23; 23; 11; 44; 45; 34; 24], , [400]
[66; 66; 66; 66; 66; 43; 33; 43; 34; 54], [22; 11; 41; 24; 21; 52; 55; 14; 44; 51; 32; 15; 31; 31; 21; 14; 35; 42; 41; 33; 23; 23; 11; 44; 45; 34], , [303]
[66; 66; 66; 66; 66; 43; 33; 43; 34; 45], [22; 11; 41; 24; 21; 52; 55; 14; 44; 51; 32; 15; 31; 31; 21; 14; 35; 42; 41; 33; 23; 23; 11; 44], , [210[0; 1; 2]3]
[66; 66; 66; 66; 66; 33; 43; 34; 45; 44], [22; 11; 41; 24; 21; 52; 55; 14; 44; 51; 32; 15; 31; 31; 21; 14; 35; 42; 41; 33; 23; 23; 11], , [402]
[66; 66; 66; 66; 66; 33; 34; 45; 44; 23], [22; 11; 41; 24; 21; 52; 55; 14; 44; 51; 32; 15; 31; 31; 21; 14; 35; 42; 41; 33; 23], , [110[2; 3]4]
[66; 66; 66; 66; 66; 33; 34; 45; 23; 23], [22; 11; 41; 24; 21; 52; 55; 14; 44; 51; 32; 15; 31; 31; 21; 14; 35; 42; 41; 33], , [210[0; 3; 4]3]
[66; 66; 66; 66; 66; 33; 34; 45; 23; 33], [22; 11; 41; 24; 21; 52; 55; 14; 44; 51; 32; 15; 31; 31; 21; 14; 35; 42; 41], , [403]
[66; 66; 66; 66; 66; 33; 34; 45; 23; 33], [22; 11; 41; 24; 21; 52; 55; 14; 44; 51; 32; 15; 31; 31; 21; 14; 35; 42], , [302]
[66; 66; 66; 66; 66; 33; 34; 23; 33; 35], [22; 11; 41; 24; 21; 52; 55; 14; 44; 51; 32; 15; 31; 31; 21; 14], , [404]
[66; 66; 66; 66; 66; 33; 34; 23; 33; 35], [22; 11; 41; 24; 21; 52; 55; 14; 44; 51; 32; 15; 31; 31; 21], , [304]
[66; 66; 66; 66; 66; 33; 34; 23; 33; 35], [22; 11; 41; 24; 21; 52; 55; 14; 44; 51; 32; 15; 31; 31], , [300]
