hand, deck, pile, move
[66; 66; 66; 66; 66; 23; 43; 45; 53; 53], [54; 33; 14; 51; 25; 35; 32; 44; 11; 12; 23; 41; 24; 14; 51; 31; 21; 13; 41; 21; 34; 22; 31; 54; 11; 43; 22; 13; 52; 42; 21; 55; 42; 52; 51; 12; 41; 33; 31; 44], , [210[0; 1; 3; 4]3]
[66; 66; 66; 66; 66; 23; 43; 45; 53; 53], [54; 33; 14; 51; 25; 35; 32; 44; 11; 12; 23; 41; 24; 14; 51; 31; 21; 13; 41; 21; 34; 22; 31; 54; 11; 43; 22; 13; 52; 42; 21; 55; 42; 52; 51; 12; 41; 33; 31; 44], , [303]
[66; 66; 66; 66; 66; 23; 43; 45; 53; 53], [54; 33; 14; 51; 25; 35; 32; 44; 11; 12; 23; 41; 24; 14; 51; 31; 21; 13; 41; 21; 34; 22; 31; 54; 11; 43; 22; 13; 52; 42; 21; 55; 42; 52; 51; 12; 41; 33; 31], , [210[2]5]
[66; 66; 66; 66; 66; 43; 45; 53; 53; 31], [54; 33; 14; 51; 25; 35; 32; 44; 11; 12; 23; 41; 24; 14; 51; 31; 21; 13; 41; 21; 34; 22; 31; 54; 11; 43; 22; 13; 52; 42; 21; 55; 42; 52; 51; 12; 41; 33], , [110[4]3]
[66; 66; 66; 66; 66; 43; 45; 53; 53; 33], [54; 33; 14; 51; 25; 35; 32; 44; 11; 12; 23; 41; 24; 14; 51; 31; 21; 13; 41; 21; 34; 22; 31; 54; 11; 43; 22; 13; 52; 42; 21; 55; 42; 52; 51; 12; 41], , [404]
[66; 66; 66; 66; 66; 43; 45; 53; 53; 33], [54; 33; 14; 51; 25; 35; 32; 44; 11; 12; 23; 41; 24; 14; 51; 31; 21; 13; 41; 21; 34; 22; 31; 54; 11; 43; 22; 13; 52; 42; 21; 55; 42; 52; 51; 12], , [304]
[66; 66; 66; 66; 66; 43; 45; 53; 53; 33], [54; 33; 14; 51; 25; 35; 32; 44; 11; 12; 23; 41; 24; 14; 51; 31; 21; 13; 41; 21; 34; 22; 31; 54; 11; 43; 22; 13; 52; 42; 21; 55; 42; 52; 51], , [304]
[66; 66; 66; 66; 66; 43; 45; 53; 53; 33], [54; 33; 14; 51; 25; 35; 32; 44; 11; 12; 23; 41; 24; 14; 51; 31; 21; 13; 41; 21; 34; 22; 31; 54; 11; 43; 22; 13; 52; 42; 21; 55; 42; 52], , [304]
[66; 66; 66; 66; 66; 43; 45; 53; 53; 33], [54; 33; 14; 51; 25; 35; 32; 44; 11; 12; 23; 41; 24; 14; 51; 31; 21; 13; 41; 21; 34; 22; 31; 54; 11; 43; 22; 13; 52; 42; 21; 55; 42], , [304]
[66; 66; 66; 66; 66; 43; 45; 53; 53; 33], [54; 33; 14; 51; 25; 35; 32; 44; 11; 12; 23; 41; 24; 14; 51; 31; 21; 13; 41; 21; 34; 22; 31; 54; 11; 43; 22; 13; 52; 42; 21; 55], , [304]
[66; 66; 66; 66; 66; 43; 45; 53; 53; 21], [54; 33; 14; 51; 25; 35; 32; 44; 11; 12; 23; 41; 24; 14; 51; 31; 21; 13; 41; 21; 34; 22; 31; 54; 11; 43; 22; 13; 52; 42], , [110[4]2]
[66; 66; 66; 66; 66; 45; 53; 53; 21; 42], [54; 33; 14; 51; 25; 35; 32; 44; 11; 12; 23; 41; 24; 14; 51; 31; 21; 13; 41; 21; 34; 22; 31; 54; 11; 43; 22; 13; 52], , [404]
[66; 66; 66; 66; 66; 45; 53; 53; 21; 42], [54; 33; 14; 51; 25; 35; 32; 44; 11; 12; 23; 41; 24; 14; 51; 31; 21; 13; 41; 21; 34; 22; 31; 54; 11; 43; 22; 13], , [302]
[66; 66; 66; 66; 66; 45; 53; 53; 21; 22], [54; 33; 14; 51; 25; 35; 32; 44; 11; 12; 23; 41; 24; 14; 51; 31; 21; 13; 41; 21; 34; 22; 31; 54; 11; 43], , [210[3]1]
[66; 66; 66; 66; 66; 45; 53; 53; 22; 43], [54; 33; 14; 51; 25; 35; 32; 44; 11; 12; 23; 41; 24; 14; 51; 31; 21; 13; 41; 21; 34; 22; 31; 54; 11], , [403]
[66; 66; 66; 66; 66; 45; 53; 53; 22; 54], [54; 33; 14; 51; 25; 35; 32; 44; 11; 12; 23; 41; 24; 14; 51; 31; 21; 13; 41; 21; 34; 22; 31], , [110[3]2]
[66; 66; 66; 66; 66; 45; 53; 53; 54; 31], [54; 33; 14; 51; 25; 35; 32; 44; 11; 12; 23; 41; 24; 14; 51; 31; 21; 13; 41; 21; 34; 22], , [403]
[66; 66; 66; 66; 66; 45; 53; 54; 31; 34], [54; 33; 14; 51; 25; 35; 32; 44; 11; 12; 23; 41; 24; 14; 51; 31; 21; 13; 41; 21], , [110[1; 2]5]
[66; 66; 66; 66; 66; 45; 53; 31; 34; 21], [54; 33; 14; 51; 25; 35; 32; 44; 11; 12; 23; 41; 24; 14; 51; 31; 21; 13; 41], , [403]
[66; 66; 66; 66; 66; 45; 31; 34; 21; 13], [54; 33; 14; 51; 25; 35; 32; 44; 11; 12; 23; 41; 24; 14; 51; 31; 21], , [110[4]1]
[66; 66; 66; 66; 66; 45; 31; 34; 21; 21], [54; 33; 14; 51; 25; 35; 32; 44; 11; 12; 23; 41; 24; 14; 51; 31], , [403]
[66; 66; 66; 66; 66; 45; 31; 34; 21; 51], [54; 33; 14; 51; 25; 35; 32; 44; 11; 12; 23; 41; 24; 14], , [403]
[66; 66; 66; 66; 66; 45; 31; 34; 21; 51], [54; 33; 14; 51; 25; 35; 32; 44; 11; 12; 23; 41; 24], , [304]
[66; 66; 66; 66; 66; 45; 31; 34; 21; 41], [54; 33; 14; 51; 25; 35; 32; 44; 11; 12; 23], , [301]
[66; 66; 66; 66; 66; 45; 31; 34; 21; 41], [54; 33; 14; 51; 25; 35; 32; 44; 11; 12], , [304]
[66; 66; 66; 66; 66; 45; 31; 34; 21; 41], [54; 33; 14; 51; 25; 35; 32; 44; 11], , [300]
[66; 66; 66; 66; 66; 45; 31; 34; 21; 44], [54; 33; 14; 51; 25; 35; 32], , [110[0; 4]4]
[66; 66; 66; 66; 66; 45; 31; 34; 21; 32], [54; 33; 14; 51; 25; 35], , [402]
[66; 66; 66; 66; 66; 31; 34; 21; 32; 25], [54; 33; 14; 51], , [110[2; 4]2]
[66; 66; 66; 66; 66; 31; 34; 21; 32; 51], [54; 33; 14], , [302]
[66; 66; 66; 66; 66; 31; 34; 32; 51; 33], [54], , [110[0; 1; 2; 4]3]
[66; 66; 66; 66; 66; 31; 34; 32; 51; 54], [], , [300]
