hand1_col1, hand1_rank1, hand1_col2, hand1_rank2, hand1_col3, hand1_rank3, hand1_col4, hand1_rank4, hand1_col5, hand1_rank5, hand2_col1, hand2_rank1, hand2_col2, hand2_rank2, hand2_col3, hand2_rank3, hand2_col4, hand2_rank4, hand2_col5, hand2_rank5, discard11, discard12, discard13, discard14, discard15, discard21, discard22, discard23, discard24, discard25, discard31, discard32, discard33, discard34, discard35, discard41, discard42, discard43, discard44, discard45, discard51, discard52, discard53, discard54, discard55, deck_count, hints, pile1, pile2, pile3, pile4, pile5, move
6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 3, 4, 2, 3, 2, 2, 2, 4, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 8, 0, 0, 0, 0, 0, 1103
6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 3, 4, 2, 3, 2, 2, 2, 4, 3, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 7, 0, 0, 1, 0, 0, 400
6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 3, 4, 2, 3, 2, 2, 2, 4, 3, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 38, 7, 0, 0, 1, 0, 0, 303
6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 3, 4, 2, 3, 2, 2, 2, 4, 3, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 37, 6, 0, 0, 1, 1, 0, 304
6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 2, 3, 2, 2, 2, 4, 3, 5, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 35, 7, 0, 0, 1, 2, 0, 2105
6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 2, 3, 2, 2, 2, 4, 3, 5, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 34, 7, 0, 0, 1, 2, 0, 1101
6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 2, 3, 2, 2, 2, 4, 3, 5, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 33, 6, 1, 0, 1, 2, 0, 400
6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 2, 3, 2, 2, 2, 4, 3, 5, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 32, 6, 1, 0, 1, 2, 0, 404
6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 2, 3, 2, 2, 2, 4, 3, 5, 3, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 31, 6, 1, 0, 1, 2, 0, 304
6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 2, 3, 2, 2, 2, 4, 3, 3, 2, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 29, 7, 1, 1, 1, 2, 0, 2102
