hand, deck, pile, move
[66; 66; 66; 66; 66; 21; 21; 43; 41; 55], [11; 45; 31; 22; 13; 32; 23; 32; 41; 12; 54; 41; 51; 13; 44; 11; 52; 53; 34; 44; 15; 33; 23; 31; 21; 53; 51; 25; 54; 42; 14; 51; 33; 14; 34; 43; 42; 11; 12; 52], , [210[0; 1; 3]1]
[66; 66; 66; 66; 66; 21; 43; 41; 55; 52], [11; 45; 31; 22; 13; 32; 23; 32; 41; 12; 54; 41; 51; 13; 44; 11; 52; 53; 34; 44; 15; 33; 23; 31; 21; 53; 51; 25; 54; 42; 14; 51; 33; 14; 34; 43; 42; 11; 12], , [110[1; 2]4]
[66; 66; 66; 66; 66; 21; 43; 55; 52; 12], [11; 45; 31; 22; 13; 32; 23; 32; 41; 12; 54; 41; 51; 13; 44; 11; 52; 53; 34; 44; 15; 33; 23; 31; 21; 53; 51; 25; 54; 42; 14; 51; 33; 14; 34; 43; 42; 11], , [400]
[66; 66; 66; 66; 66; 21; 43; 55; 52; 12], [11; 45; 31; 22; 13; 32; 23; 32; 41; 12; 54; 41; 51; 13; 44; 11; 52; 53; 34; 44; 15; 33; 23; 31; 21; 53; 51; 25; 54; 42; 14; 51; 33; 14; 34; 43; 42], , [304]
[66; 66; 66; 66; 66; 21; 43; 55; 52; 12], [11; 45; 31; 22; 13; 32; 23; 32; 41; 12; 54; 41; 51; 13; 44; 11; 52; 53; 34; 44; 15; 33; 23; 31; 21; 53; 51; 25; 54; 42; 14; 51; 33; 14; 34; 43], , [304]
[66; 66; 66; 66; 66; 21; 43; 55; 52; 12], [11; 45; 31; 22; 13; 32; 23; 32; 41; 12; 54; 41; 51; 13; 44; 11; 52; 53; 34; 44; 15; 33; 23; 31; 21; 53; 51; 25; 54; 42; 14; 51; 33; 14; 34], , [302]
[66; 66; 66; 66; 66; 21; 43; 55; 52; 12], [11; 45; 31; 22; 13; 32; 23; 32; 41; 12; 54; 41; 51; 13; 44; 11; 52; 53; 34; 44; 15; 33; 23; 31; 21; 53; 51; 25; 54; 42; 14; 51; 33; 14], , [303]
[66; 66; 66; 66; 66; 43; 55; 52; 12; 33], [11; 45; 31; 22; 13; 32; 23; 32; 41; 12; 54; 41; 51; 13; 44; 11; 52; 53; 34; 44; 15; 33; 23; 31; 21; 53; 51; 25; 54; 42; 14; 51], , [210[2; 3]2]
[66; 66; 66; 66; 66; 43; 55; 52; 33; 51], [11; 45; 31; 22; 13; 32; 23; 32; 41; 12; 54; 41; 51; 13; 44; 11; 52; 53; 34; 44; 15; 33; 23; 31; 21; 53; 51; 25; 54; 42; 14], , [110[1; 2; 4]5]
[66; 66; 66; 66; 66; 43; 55; 52; 33; 14], [11; 45; 31; 22; 13; 32; 23; 32; 41; 12; 54; 41; 51; 13; 44; 11; 52; 53; 34; 44; 15; 33; 23; 31; 21; 53; 51; 25; 54; 42], , [401]
[66; 66; 66; 66; 66; 43; 55; 33; 14; 54], [11; 45; 31; 22; 13; 32; 23; 32; 41; 12; 54; 41; 51; 13; 44; 11; 52; 53; 34; 44; 15; 33; 23; 31; 21; 53; 51; 25], , [402]
[66; 66; 66; 66; 66; 43; 55; 33; 54; 51], [11; 45; 31; 22; 13; 32; 23; 32; 41; 12; 54; 41; 51; 13; 44; 11; 52; 53; 34; 44; 15; 33; 23; 31; 21; 53], , [402]
[66; 66; 66; 66; 66; 43; 55; 33; 54; 51], [11; 45; 31; 22; 13; 32; 23; 32; 41; 12; 54; 41; 51; 13; 44; 11; 52; 53; 34; 44; 15; 33; 23; 31; 21], , [304]
