hand, deck, pile, move
[66; 66; 66; 66; 66; 43; 55; 33; 51; 31], [11; 45; 31; 22; 13; 32; 23; 32; 41; 12; 54; 41; 51; 13; 44; 11; 52; 53; 34; 44; 15; 33; 23], , [210[3; 4]1]
[66; 66; 66; 66; 66; 43; 55; 33; 51; 23], [11; 45; 31; 22; 13; 32; 23; 32; 41; 12; 54; 41; 51; 13; 44; 11; 52; 53; 34; 44; 15; 33], , [210[0; 2; 4]3]
[66; 66; 66; 66; 66; 43; 55; 33; 51; 33], [11; 45; 31; 22; 13; 32; 23; 32; 41; 12; 54; 41; 51; 13; 44; 11; 52; 53; 34; 44; 15], , [404]
[66; 66; 66; 66; 66; 43; 55; 33; 51; 33], [11; 45; 31; 22; 13; 32; 23; 32; 41; 12; 54; 41; 51; 13; 44; 11; 52; 53; 34; 44], , [301]
[66; 66; 66; 66; 66; 43; 55; 33; 51; 33], [11; 45; 31; 22; 13; 32; 23; 32; 41; 12; 54; 41; 51; 13; 44; 11; 52; 53; 34], , [304]
[66; 66; 66; 66; 66; 43; 55; 33; 51; 33], [11; 45; 31; 22; 13; 32; 23; 32; 41; 12; 54; 41; 51; 13; 44; 11; 52; 53], , [302]
[66; 66; 66; 66; 66; 55; 33; 51; 33; 52], [11; 45; 31; 22; 13; 32; 23; 32; 41; 12; 54; 41; 51; 13; 44; 11], , [401]
[66; 66; 66; 66; 66; 55; 33; 33; 52; 44], [11; 45; 31; 22; 13; 32; 23; 32; 41; 12; 54; 41; 51; 13], , [401]
[66; 66; 66; 66; 66; 55; 33; 33; 52; 44], [11; 45; 31; 22; 13; 32; 23; 32; 41; 12; 54; 41; 51], , [304]
[66; 66; 66; 66; 66; 55; 33; 52; 44; 41], [11; 45; 31; 22; 13; 32; 23; 32; 41; 12; 54], , [210[1]3]
[66; 66; 66; 66; 66; 55; 33; 44; 41; 54], [11; 45; 31; 22; 13; 32; 23; 32; 41; 12], , [110[0; 4]5]
[66; 66; 66; 66; 66; 55; 33; 44; 41; 12], [11; 45; 31; 22; 13; 32; 23; 32; 41], , [403]
[66; 66; 66; 66; 66; 33; 44; 41; 12; 32], [11; 45; 31; 22; 13; 32; 23], , [210[3; 4]2]
[66; 66; 66; 66; 66; 33; 44; 41; 12; 23], [11; 45; 31; 22; 13; 32], , [403]
[66; 66; 66; 66; 66; 44; 41; 12; 23; 13], [11; 45; 31; 22], , [210[0]4]
[66; 66; 66; 66; 66; 44; 41; 12; 23; 13], [11; 45; 31; 22], , [301]
[66; 66; 66; 66; 66; 44; 41; 12; 23; 13], [11; 45; 31], , [300]
[66; 66; 66; 66; 66; 44; 12; 23; 13; 45], [11], , [110[0; 4]4]
[66; 66; 66; 66; 66; 44; 12; 23; 13; 11], [], , [400]
