hand, deck, pile, move
[66; 66; 66; 66; 66; 23; 54; 14; 42; 13], [21; 55; 35; 11; 53; 33; 43; 41; 25; 21; 11; 44; 51; 22; 31; 31; 23; 11; 34; 24; 32; 12; 42; 34; 22; 13; 51; 54], , [401]
[66; 66; 66; 66; 66; 23; 54; 14; 13; 51], [21; 55; 35; 11; 53; 33; 43; 41; 25; 21; 11; 44; 51; 22; 31; 31; 23; 11; 34; 24; 32; 12; 42; 34; 22; 13], , [403]
[66; 66; 66; 66; 66; 23; 54; 14; 13; 51], [21; 55; 35; 11; 53; 33; 43; 41; 25; 21; 11; 44; 51; 22; 31; 31; 23; 11; 34; 24; 32; 12; 42; 34; 22], , [301]
[66; 66; 66; 66; 66; 23; 54; 14; 13; 51], [21; 55; 35; 11; 53; 33; 43; 41; 25; 21; 11; 44; 51; 22; 31; 31; 23; 11; 34; 24; 32; 12; 42; 34], , [304]
[66; 66; 66; 66; 66; 23; 54; 14; 13; 51], [21; 55; 35; 11; 53; 33; 43; 41; 25; 21; 11; 44; 51; 22; 31; 31; 23; 11; 34; 24; 32; 12; 42], , [304]
[66; 66; 66; 66; 66; 23; 54; 14; 51; 12], [21; 55; 35; 11; 53; 33; 43; 41; 25; 21; 11; 44; 51; 22; 31; 31; 23; 11; 34; 24; 32], , [210[0]3]
[66; 66; 66; 66; 66; 54; 14; 51; 12; 32], [21; 55; 35; 11; 53; 33; 43; 41; 25; 21; 11; 44; 51; 22; 31; 31; 23; 11; 34; 24], , [404]
[66; 66; 66; 66; 66; 54; 14; 51; 12; 32], [21; 55; 35; 11; 53; 33; 43; 41; 25; 21; 11; 44; 51; 22; 31; 31; 23; 11; 34], , [304]
[66; 66; 66; 66; 66; 54; 14; 12; 32; 11], [21; 55; 35; 11; 53; 33; 43; 41; 25; 21; 11; 44; 51; 22; 31; 31; 23], , [110[1; 2; 4]1]
[66; 66; 66; 66; 66; 54; 14; 12; 32; 23], [21; 55; 35; 11; 53; 33; 43; 41; 25; 21; 11; 44; 51; 22; 31; 31], , [210[2; 3]2]
[66; 66; 66; 66; 66; 54; 14; 32; 23; 31], [21; 55; 35; 11; 53; 33; 43; 41; 25; 21; 11; 44; 51; 22; 31], , [404]
[66; 66; 66; 66; 66; 54; 14; 32; 23; 31], [21; 55; 35; 11; 53; 33; 43; 41; 25; 21; 11; 44; 51; 22], , [303]
[66; 66; 66; 66; 66; 54; 14; 23; 31; 51], [21; 55; 35; 11; 53; 33; 43; 41; 25; 21; 11; 44], , [210[3; 4]1]
[66; 66; 66; 66; 66; 54; 23; 31; 51; 44], [21; 55; 35; 11; 53; 33; 43; 41; 25; 21; 11], , [301]
[66; 66; 66; 66; 66; 54; 23; 51; 44; 21], [21; 55; 35; 11; 53; 33; 43; 41; 25], , [402]
[66; 66; 66; 66; 66; 54; 23; 51; 44; 21], [21; 55; 35; 11; 53; 33; 43; 41], , [304]
[66; 66; 66; 66; 66; 54; 23; 44; 21; 43], [21; 55; 35; 11; 53; 33], , [110[2; 4]4]
[66; 66; 66; 66; 66; 54; 23; 44; 21; 33], [21; 55; 35; 11; 53], , [210[3]1]
[66; 66; 66; 66; 66; 54; 23; 21; 33; 53], [21; 55; 35; 11], , [300]
[66; 66; 66; 66; 66; 54; 23; 21; 53; 35], [21; 55], , [110[0; 3]5]
[66; 66; 66; 66; 66; 54; 23; 21; 35; 55], [21], , [210[3; 4]5]
[66; 66; 66; 66; 66; 23; 21; 35; 55; 21], [], , [400]
