hand, deck, pile, move
[66; 66; 66; 66; 66; 23; 41; 51; 32; 54], [21; 55; 35; 11; 53; 33; 43; 41; 25; 21; 11; 44; 51; 22; 31; 31; 23; 11; 34; 24; 32; 12; 42; 34; 22; 13; 51; 54; 13; 42; 31; 44; 52; 52; 43; 14; 14; 21; 24; 15], , [210[1; 2]1]
[66; 66; 66; 66; 66; 23; 41; 51; 32; 54], [21; 55; 35; 11; 53; 33; 43; 41; 25; 21; 11; 44; 51; 22; 31; 31; 23; 11; 34; 24; 32; 12; 42; 34; 22; 13; 51; 54; 13; 42; 31; 44; 52; 52; 43; 14; 14; 21; 24; 15], , [303]
[66; 66; 66; 66; 66; 23; 41; 51; 32; 54], [21; 55; 35; 11; 53; 33; 43; 41; 25; 21; 11; 44; 51; 22; 31; 31; 23; 11; 34; 24; 32; 12; 42; 34; 22; 13; 51; 54; 13; 42; 31; 44; 52; 52; 43; 14; 14; 21; 24], , [110[2; 4]5]
[66; 66; 66; 66; 66; 23; 41; 32; 54; 24], [21; 55; 35; 11; 53; 33; 43; 41; 25; 21; 11; 44; 51; 22; 31; 31; 23; 11; 34; 24; 32; 12; 42; 34; 22; 13; 51; 54; 13; 42; 31; 44; 52; 52; 43; 14; 14; 21], , [401]
[66; 66; 66; 66; 66; 23; 41; 32; 54; 24], [21; 55; 35; 11; 53; 33; 43; 41; 25; 21; 11; 44; 51; 22; 31; 31; 23; 11; 34; 24; 32; 12; 42; 34; 22; 13; 51; 54; 13; 42; 31; 44; 52; 52; 43; 14; 14], , [304]
[66; 66; 66; 66; 66; 23; 32; 54; 24; 14], [21; 55; 35; 11; 53; 33; 43; 41; 25; 21; 11; 44; 51; 22; 31; 31; 23; 11; 34; 24; 32; 12; 42; 34; 22; 13; 51; 54; 13; 42; 31; 44; 52; 52; 43], , [404]
[66; 66; 66; 66; 66; 23; 32; 54; 14; 52], [21; 55; 35; 11; 53; 33; 43; 41; 25; 21; 11; 44; 51; 22; 31; 31; 23; 11; 34; 24; 32; 12; 42; 34; 22; 13; 51; 54; 13; 42; 31; 44; 52], , [210[1; 4]2]
[66; 66; 66; 66; 66; 23; 32; 54; 14; 52], [21; 55; 35; 11; 53; 33; 43; 41; 25; 21; 11; 44; 51; 22; 31; 31; 23; 11; 34; 24; 32; 12; 42; 34; 22; 13; 51; 54; 13; 42; 31; 44], , [404]
[66; 66; 66; 66; 66; 23; 32; 54; 14; 31], [21; 55; 35; 11; 53; 33; 43; 41; 25; 21; 11; 44; 51; 22; 31; 31; 23; 11; 34; 24; 32; 12; 42; 34; 22; 13; 51; 54; 13; 42], , [110[1; 4]3]
[66; 66; 66; 66; 66; 23; 32; 54; 14; 42], [21; 55; 35; 11; 53; 33; 43; 41; 25; 21; 11; 44; 51; 22; 31; 31; 23; 11; 34; 24; 32; 12; 42; 34; 22; 13; 51; 54; 13], , [110[4]4]
