hand, deck, pile, move
[66; 66; 66; 66; 66; 44; 12; 13; 11; 22], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51; 24; 43; 23; 21; 31; 43; 12; 14; 35; 54; 23; 34; 54; 55; 24; 51; 42; 53; 42; 21; 25; 45; 53; 41; 32; 15; 14; 51; 41], , [110[1; 2; 3]1]
[66; 66; 66; 66; 66; 44; 12; 13; 22; 41], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51; 24; 43; 23; 21; 31; 43; 12; 14; 35; 54; 23; 34; 54; 55; 24; 51; 42; 53; 42; 21; 25; 45; 53; 41; 32; 15; 14; 51], , [304]
[66; 66; 66; 66; 66; 44; 12; 13; 22; 41], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51; 24; 43; 23; 21; 31; 43; 12; 14; 35; 54; 23; 34; 54; 55; 24; 51; 42; 53; 42; 21; 25; 45; 53; 41; 32; 15; 14], , [304]
[66; 66; 66; 66; 66; 44; 12; 13; 22; 41], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51; 24; 43; 23; 21; 31; 43; 12; 14; 35; 54; 23; 34; 54; 55; 24; 51; 42; 53; 42; 21; 25; 45; 53; 41; 32; 15], , [302]
[66; 66; 66; 66; 66; 44; 12; 13; 22; 41], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51; 24; 43; 23; 21; 31; 43; 12; 14; 35; 54; 23; 34; 54; 55; 24; 51; 42; 53; 42; 21; 25; 45; 53; 41; 32], , [301]
[66; 66; 66; 66; 66; 44; 12; 13; 22; 41], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51; 24; 43; 23; 21; 31; 43; 12; 14; 35; 54; 23; 34; 54; 55; 24; 51; 42; 53; 42; 21; 25; 45; 53; 41], , [301]
[66; 66; 66; 66; 66; 44; 12; 13; 22; 41], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51; 24; 43; 23; 21; 31; 43; 12; 14; 35; 54; 23; 34; 54; 55; 24; 51; 42; 53; 42; 21; 25; 45; 53], , [404]
[66; 66; 66; 66; 66; 44; 12; 13; 22; 45], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51; 24; 43; 23; 21; 31; 43; 12; 14; 35; 54; 23; 34; 54; 55; 24; 51; 42; 53; 42; 21; 25], , [210[1; 3]2]
[66; 66; 66; 66; 66; 44; 13; 22; 45; 25], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51; 24; 43; 23; 21; 31; 43; 12; 14; 35; 54; 23; 34; 54; 55; 24; 51; 42; 53; 42; 21], , [110[2; 4]2]
[66; 66; 66; 66; 66; 44; 13; 45; 25; 21], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51; 24; 43; 23; 21; 31; 43; 12; 14; 35; 54; 23; 34; 54; 55; 24; 51; 42; 53; 42], , [210[1]3]
[66; 66; 66; 66; 66; 44; 45; 25; 21; 42], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51; 24; 43; 23; 21; 31; 43; 12; 14; 35; 54; 23; 34; 54; 55; 24; 51; 42; 53], , [110[0; 1; 4]4]
[66; 66; 66; 66; 66; 44; 45; 25; 21; 53], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51; 24; 43; 23; 21; 31; 43; 12; 14; 35; 54; 23; 34; 54; 55; 24; 51; 42], , [401]
[66; 66; 66; 66; 66; 44; 45; 25; 21; 53], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51; 24; 43; 23; 21; 31; 43; 12; 14; 35; 54; 23; 34; 54; 55; 24; 51], , [303]
[66; 66; 66; 66; 66; 45; 25; 21; 53; 24], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51; 24; 43; 23; 21; 31; 43; 12; 14; 35; 54; 23; 34; 54; 55], , [210[0; 1]5]
[66; 66; 66; 66; 66; 45; 25; 53; 24; 55], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51; 24; 43; 23; 21; 31; 43; 12; 14; 35; 54; 23; 34; 54], , [403]
[66; 66; 66; 66; 66; 45; 25; 53; 24; 55], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51; 24; 43; 23; 21; 31; 43; 12; 14; 35; 54; 23; 34], , [304]
[66; 66; 66; 66; 66; 45; 25; 53; 24; 55], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51; 24; 43; 23; 21; 31; 43; 12; 14; 35; 54; 23], , [302]
[66; 66; 66; 66; 66; 45; 25; 24; 55; 54], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51; 24; 43; 23; 21; 31; 43; 12; 14; 35], , [210[0; 1; 3]5]
[66; 66; 66; 66; 66; 45; 25; 24; 54; 35], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51; 24; 43; 23; 21; 31; 43; 12; 14], , [402]
[66; 66; 66; 66; 66; 45; 25; 24; 54; 35], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51; 24; 43; 23; 21; 31; 43; 12], , [304]
[66; 66; 66; 66; 66; 45; 25; 24; 54; 35], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51; 24; 43; 23; 21; 31; 43], , [303]
[66; 66; 66; 66; 66; 45; 25; 54; 35; 31], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51; 24; 43; 23; 21], , [301]
[66; 66; 66; 66; 66; 45; 25; 54; 35; 31], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51; 24; 43; 23], , [303]
[66; 66; 66; 66; 66; 45; 25; 35; 31; 43], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51; 24], , [210[0; 1; 2]5]
[66; 66; 66; 66; 66; 45; 25; 35; 43; 24], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41; 51], , [110[1; 4]2]
[66; 66; 66; 66; 66; 45; 25; 35; 43; 51], [44; 13; 52; 22; 31; 11; 33; 33; 32; 41], , [403]
[66; 66; 66; 66; 66; 45; 35; 43; 51; 32], [44; 13; 52; 22; 31; 11; 33; 33], , [402]
[66; 66; 66; 66; 66; 45; 35; 43; 51; 32], [44; 13; 52; 22; 31; 11; 33], , [304]
[66; 66; 66; 66; 66; 45; 35; 43; 32; 11], [44; 13; 52; 22; 31], , [300]
[66; 66; 66; 66; 66; 45; 43; 32; 11; 22], [44; 13; 52], , [302]
[66; 66; 66; 66; 66; 45; 43; 11; 22; 13], [44], , [304]
[66; 66; 66; 66; 66; 45; 43; 11; 22; 13], [], , [304]
